Product Interest,Ad ID,Media Agency,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,6/8/2017,6/8/2017,6/5/2017,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,6/8/2017,6/8/2017,6/5/2017,1,Online Search,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,6/8/2017,6/8/2017,6/5/2017,1,Online Shopping,Web
Bowflex Max Trainer,CAM45694 ICASESF14B,Kingstar Media,6/8/2017,6/8/2017,6/5/2017,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM50592 FGHTC120MX121KST,Kingstar Media,6/8/2017,6/8/2017,6/5/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,6/9/2017,6/9/2017,6/5/2017,2,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47281 ICAOSGCWSL36,TouchPoint Integrated Communications,6/9/2017,6/9/2017,6/5/2017,1,Online Search,Web
Bowflex Max Trainer,CAM50053 VINTC120MX100KST,Kingstar Media,6/9/2017,6/9/2017,6/5/2017,1,Short Form,Call Center Internal
Bowflex Home Gyms,CAM29862 icawbowflexca,Internal,6/10/2017,6/10/2017,6/5/2017,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,6/10/2017,6/10/2017,6/5/2017,1,Online Search,Web
Bowflex Home Gyms,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,6/10/2017,6/10/2017,6/5/2017,1,Online Search,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,6/11/2017,6/11/2017,6/5/2017,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,6/11/2017,6/11/2017,6/5/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,6/11/2017,6/11/2017,6/5/2017,1,Online Search,Web
Treadclimber,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,6/11/2017,6/11/2017,6/5/2017,1,Online Search,Web
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,Internal,6/11/2017,6/11/2017,6/5/2017,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,6/11/2017,6/11/2017,6/5/2017,1,Online Shopping,Web
Bowflex Home Gyms,CAM50720 ICAODG2GDL1,TouchPoint Integrated Communications,6/11/2017,6/11/2017,6/5/2017,1,Online Display,Web
Treadclimber,CAM50718 ICAODG2TDL1,TouchPoint Integrated Communications,6/16/2017,6/9/2017,6/5/2017,1,Online Display,Web
Bowflex Max Trainer,CAM48226 ICAOXFBESCODE002,Social Code,6/30/2017,6/8/2017,6/5/2017,1,Online Social,Web
Bowflex Brand,CAM29862 icawbowflexca,Internal,,6/8/2017,6/5/2017,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM29862 icawbowflexca,Internal,,6/8/2017,6/5/2017,4,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,,6/8/2017,6/5/2017,2,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM29862 icawbowflexca,Internal,,6/8/2017,6/5/2017,5,Electronic - UnSourced,Web
Treadclimber,CAM30841 icaosgctsl2,TouchPoint Integrated Communications,,6/8/2017,6/5/2017,1,Online Search,Web
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,,6/8/2017,6/5/2017,2,Online Search,Call Center Internal
Bowflex Home Gyms,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,6/8/2017,6/5/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,6/8/2017,6/5/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM40819 1800SELECTTECH,Internal,,6/8/2017,6/5/2017,1,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM44557 icaosgcdsl8,TouchPoint Integrated Communications,,6/8/2017,6/5/2017,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,,6/8/2017,6/5/2017,6,Online Shopping,Web
Bowflex Max Trainer,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,,6/8/2017,6/5/2017,2,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM48231 ICAOXFBDSCODE002,Social Code,,6/8/2017,6/5/2017,1,Online Social,Web
Treadclimber,CAM49424 DOSG2T,TouchPoint Integrated Communications,,6/8/2017,6/5/2017,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM50604 TSN2C120MX121KST,Kingstar Media,,6/8/2017,6/5/2017,1,Short Form,Call Center Internal
Bowflex Selecttech Dumbbells,CAM50721 ICAODG2DDL1,TouchPoint Integrated Communications,,6/8/2017,6/5/2017,2,Online Display,Web
Bowflex Home Gyms,CAM29862 icawbowflexca,Internal,,6/9/2017,6/5/2017,1,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM29862 icawbowflexca,Internal,,6/9/2017,6/5/2017,1,Electronic - UnSourced,Call Center Internal
Bowflex Brand,CAM29862 icawbowflexca,Internal,,6/9/2017,6/5/2017,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM29862 icawbowflexca,Internal,,6/9/2017,6/5/2017,2,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,Internal,,6/9/2017,6/5/2017,2,Electronic - UnSourced,Web
Treadclimber,CAM30841 icaosgctsl2,TouchPoint Integrated Communications,,6/9/2017,6/5/2017,1,Online Search,Web
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,,6/9/2017,6/5/2017,1,Online Search,Call Center Internal
Bowflex Home Gyms,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,,6/9/2017,6/5/2017,2,Online Search,Web
