Lead PI,Ad ID,Media Agency,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Max Trainer,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71663503,Online Shopping,Web
Treadclimber,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71663504,Online Shopping,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71663603,Online Search,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,Internal,,8/15/2017,8/14/2017,71663903,Online Social,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,8/15/2017,8/15/2017,8/14/2017,71664003,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71664103,Online Display,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71664203,Electronic - UnSourced,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,8/15/2017,8/15/2017,8/14/2017,71664303,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71664503,Online Shopping,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71664504,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71664505,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71664603,Online Search,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/15/2017,8/14/2017,71664903,Electronic - UnSourced,Web
Bowflex Catalog,CAM50805 DODTABOOLAHDL1,TouchPoint Integrated Communications,8/15/2017,8/15/2017,8/14/2017,71665303,Online Display,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/15/2017,8/14/2017,71665503,Online Shopping,Web
