Bowflex Selecttech Dumbbells,CAM49389 DCBHOMESUM16,,7/15/2016,7/11/2016,1,Catalog,Web
Treadclimber,CAM49402 HMM*N120BOO16TIC,7/15/2016,7/15/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49402 HMM*N120BOO16TIC,7/15/2016,7/15/2016,7/11/2016,1,Short Form,Third Party Call Center - West
Treadclimber,CAM49406 TESCN120BOO16TIC,7/15/2016,7/15/2016,7/11/2016,2,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49423 DOFG2T,,7/15/2016,7/11/2016,1,Online Shopping,Call Center Internal
Bowflex Home Gyms,CAM49424 DOSG2T,,7/15/2016,7/11/2016,1,Online Search,Call Center Internal
Treadclimber,CAM49424 DOSG2T,7/15/2016,7/15/2016,7/11/2016,1,Online Search,Call Center Internal
Treadclimber,CAM49424 DOSG2T,,7/15/2016,7/11/2016,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM49445 ION*N60*HAM7*TIC,7/15/2016,7/15/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49461 DISAN60*HAM7*TIC,7/15/2016,7/15/2016,7/11/2016,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49461 DISAN60*HAM7*TIC,,7/15/2016,7/11/2016,2,Short Form,Call Center Internal
Treadclimber,CAM49461 DISAN60*HAM7*TIC,,7/15/2016,7/11/2016,3,Short Form,Call Center Internal
Treadclimber,CAM49474 DRTFN60*HKINGTIC,7/15/2016,7/15/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49502 HMM*N120ABC16TIC,7/15/2016,7/15/2016,7/11/2016,3,Short Form,Call Center Internal
Treadclimber,CAM49504 INSPN120ABC16TIC,7/15/2016,7/15/2016,7/11/2016,4,Short Form,Call Center Internal
Treadclimber,CAM49504 INSPN120ABC16TIC,,7/15/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49510 GET*N120ABC16TIC,7/15/2016,7/15/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49512 MOVSN120ABC16TIC,7/15/2016,7/15/2016,7/11/2016,2,Short Form,Call Center Internal
Treadclimber,CAM49513 DISEN60*ABC16TIC,7/15/2016,7/15/2016,7/11/2016,1,Short Form,Call Center Internal
Treadclimber,CAM49513 DISEN60*ABC16TIC,7/15/2016,7/15/2016,7/11/2016,1,Short Form,Third Party Call Center - Evolve
Treadclimber,CAM49514 LMN*N60*ABC16TIC,7/15/2016,7/15/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49516 ION*N60*ABC16TIC,,7/15/2016,7/11/2016,2,Short Form,Call Center Internal
Treadclimber,CAM49516 ION*N60*ABC16TIC,7/15/2016,7/15/2016,7/11/2016,2,Short Form,Call Center Internal
Treadclimber,CAM49516 ION*N60*ABC16TIC,,7/15/2016,7/11/2016,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49559 DOXFBTSCODEBFJULY16,,7/15/2016,7/11/2016,1,Online Social,Web
Treadclimber,CAM49559 DOXFBTSCODEBFJULY16,,7/15/2016,7/11/2016,8,Online Social,Web
Bowflex Max Trainer,CAM49560 DOXFBDSCODEBFJULY16,,7/15/2016,7/11/2016,3,Online Social,Web
Bowflex Selecttech Dumbbells,CAM49560 DOXFBDSCODEBFJULY16,,7/15/2016,7/11/2016,14,Online Social,Web
Treadclimber,CAM49560 DOXFBDSCODEBFJULY16,,7/15/2016,7/11/2016,2,Online Social,Web
Bowflex Max Trainer,CAM49561 DOXFBESCODEBFJULY16,,7/15/2016,7/11/2016,8,Online Social,Web
Treadclimber,CAM49561 DOXFBESCODEBFJULY16,,7/15/2016,7/11/2016,1,Online Social,Web
Bowflex Max Trainer,CAM49568 SAWDODMEDIAIQE,,7/15/2016,7/11/2016,1,Online Display,Call Center Internal
Bowflex Catalog,CAM127 1800BOWFLEX_BFC,,7/16/2016,7/11/2016,3,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM127 1800BOWFLEX_BFC,,7/16/2016,7/11/2016,2,Electronic - UnSourced,Call Center Internal
Treadclimber,CAM16426 DSETDIR,7/16/2016,7/16/2016,7/11/2016,6,Electronic - Short Form,Web
Treadclimber,CAM16426 DSETDIR,,7/16/2016,7/11/2016,11,Electronic - Short Form,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,,7/16/2016,7/11/2016,1,Electronic - UnSourced,Call Center Internal
Bowflex Max Trainer,CAM16616 DEGBFBHG,,7/16/2016,7/11/2016,1,Electronic - UnSourced,Call Center Internal
Bowflex Brand,CAM16616 DEGBFBHG,,7/16/2016,7/11/2016,18,Electronic - UnSourced,Web
Bowflex Catalog,CAM16616 DEGBFBHG,,7/16/2016,7/11/2016,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,,7/16/2016,7/11/2016,52,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,7/16/2016,7/16/2016,7/11/2016,4,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,,7/16/2016,7/11/2016,39,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,7/16/2016,7/16/2016,7/11/2016,1,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,,7/16/2016,7/11/2016,12,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,7/16/2016,7/16/2016,7/11/2016,1,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,,7/16/2016,7/11/2016,27,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM29862 icawbowflexca,7/16/2016,7/16/2016,7/11/2016,1,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,,7/16/2016,7/11/2016,3,Online Search,Web
Bowflex Home Gyms,CAM30796 SAWDOSG2G,,7/16/2016,7/11/2016,2,Online Search,Call Center Internal
Bowflex Max Trainer,CAM30796 SAWDOSG2G,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Treadclimber,CAM30796 SAWDOSG2G,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Bowflex Home Gyms,CAM30891 SAWICAOSGCW,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Bowflex Home Gyms,CAM31081 dosg2gl1,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Treadclimber,CAM31081 dosg2gl1,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Bowflex Brand,CAM31081 dosg2gl1,,7/16/2016,7/11/2016,10,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,7/16/2016,7/16/2016,7/11/2016,2,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,,7/16/2016,7/11/2016,20,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,,7/16/2016,7/11/2016,22,Online Search,Web
Bowflex Revolution,CAM31081 dosg2gl1,,7/16/2016,7/11/2016,2,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,7/16/2016,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,,7/16/2016,7/11/2016,8,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,,7/16/2016,7/11/2016,7,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,,7/16/2016,7/11/2016,2,Online Shopping,Web
Bowflex Catalog,CAM32062 dofg2gfeed1,,7/16/2016,7/11/2016,1,Online Shopping,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,7/16/2016,7/16/2016,7/11/2016,1,Online Shopping,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,,7/16/2016,7/11/2016,2,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM32062 dofg2gfeed1,,7/16/2016,7/11/2016,1,Online Shopping,Web
Bowflex UpperCut,CAM32062 dofg2gfeed1,,7/16/2016,7/11/2016,1,Online Shopping,Web
Treadclimber,CAM32062 dofg2gfeed1,,7/16/2016,7/11/2016,1,Online Shopping,Web
Treadclimber,CAM32123 dofg2tfeed1,,7/16/2016,7/11/2016,3,Online Shopping,Web
Treadclimber,CAM32595 SAWDOSBIT,7/16/2016,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Treadclimber,CAM32595 SAWDOSBIT,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM36104 SAWSF11E,,7/16/2016,7/11/2016,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM36104 SAWSF11E,,7/16/2016,7/11/2016,2,Electronic - Short Form,Call Center Internal
Treadclimber,CAM36298 dsetsf11g,7/16/2016,7/16/2016,7/11/2016,1,Electronic - Short Form,Web
Treadclimber,CAM36298 dsetsf11g,,7/16/2016,7/11/2016,2,Electronic - Short Form,Web
Treadclimber,CAM36608 dsetsf12a,7/16/2016,7/16/2016,7/11/2016,22,Electronic - Short Form,Web
Treadclimber,CAM36885 dosbitsl2,,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,,7/16/2016,7/11/2016,1,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,7/16/2016,7/16/2016,7/11/2016,1,Online Search,Web
Treadclimber,CAM37440 dosg2tsl21,,7/16/2016,7/11/2016,13,Online Search,Web
Treadclimber,CAM37443 dosg2tsl24,,7/16/2016,7/11/2016,2,Online Search,Web
Treadclimber,CAM37492 dosbitsl5,7/16/2016,7/16/2016,7/11/2016,2,Online Search,Web
Bowflex Max Trainer,CAM37655 dosbitsl10,,7/16/2016,7/11/2016,1,Online Search,Web
Treadclimber,CAM38447 dodrftdl1,,7/16/2016,7/11/2016,1,Online Display,Web
Treadclimber,CAM38842 dosg2tsl27,7/16/2016,7/16/2016,7/11/2016,2,Online Search,Web
Bowflex Brand,CAM39441 dosbigl1,,7/16/2016,7/11/2016,2,Online Search,Web
Bowflex Catalog,CAM39441 dosbigl1,,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,,7/16/2016,7/11/2016,7,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,7/16/2016,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,,7/16/2016,7/11/2016,12,Online Search,Web
Bowflex Selecttech Dumbbells,CAM39441 dosbigl1,,7/16/2016,7/11/2016,1,Online Search,Web
Treadclimber,CAM39441 dosbigl1,,7/16/2016,7/11/2016,3,Online Search,Web
Bowflex Selecttech Dumbbells,CAM40819 1800SELECTTECH,,7/16/2016,7/11/2016,1,Un-Sourced,Call Center Internal
Treadclimber,CAM43683 dosbitsl14,7/16/2016,7/16/2016,7/11/2016,9,Online Search,Web
Treadclimber,CAM44065 SAWDOSG2TMOBILE2,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44172 dseesf14a,7/16/2016,7/16/2016,7/11/2016,21,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,7/16/2016,7/11/2016,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44191 dseesf14d,7/16/2016,7/16/2016,7/11/2016,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,7/16/2016,7/16/2016,7/11/2016,3,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44213 dseesf14b,,7/16/2016,7/11/2016,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44215 SAWDSEESF14A,,7/16/2016,7/11/2016,1,Electronic - Short Form,Call Center Internal
Treadclimber,CAM44215 SAWDSEESF14A,,7/16/2016,7/11/2016,1,Electronic - Short Form,Call Center Internal
Bowflex Max Trainer,CAM44223 SAWDOSBIE,,7/16/2016,7/11/2016,2,Online Search,Call Center Internal
Treadclimber,CAM44223 SAWDOSBIE,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44230 SAWDOSG2E,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Treadclimber,CAM44230 SAWDOSG2E,,7/16/2016,7/11/2016,2,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44429 dosbiesl1,7/16/2016,7/16/2016,7/11/2016,2,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,,7/16/2016,7/11/2016,8,Online Search,Web
Treadclimber,CAM44429 dosbiesl1,,7/16/2016,7/11/2016,3,Online Search,Web
Bowflex Max Trainer,CAM44436 dosg2esl2,7/16/2016,7/16/2016,7/11/2016,10,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,7/16/2016,7/16/2016,7/11/2016,2,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,,7/16/2016,7/11/2016,26,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,,7/16/2016,7/11/2016,8,Online Search,Web
Bowflex Max Trainer,CAM44522 dodrfedl1,,7/16/2016,7/11/2016,1,Online Display,Web
Bowflex Max Trainer,CAM44531 dosbiesl2,7/16/2016,7/16/2016,7/11/2016,1,Online Search,Web
Bowflex Max Trainer,CAM44539 SAWDOSG2EMOBILE2,7/16/2016,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM44539 SAWDOSG2EMOBILE2,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
Treadclimber,CAM44539 SAWDOSG2EMOBILE2,,7/16/2016,7/11/2016,1,Online Search,Call Center Internal
