Bowflex Max Trainer,CAM49053 DEDIKE2016Q1A,,1/3/2017,1/2/2017,1,Digital - Info Kit,Web
Bowflex Max Trainer,CAM49066 BMT1,1/3/2017,1/3/2017,1/2/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49143 MX27P60*J14FSTIC,1/3/2017,1/3/2017,1/2/2017,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM49145 MX29P60*J14FSTIC,1/3/2017,1/3/2017,1/2/2017,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM49296 DSEESF16B,1/3/2017,1/3/2017,1/2/2017,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM49296 DSEESF16B,,1/3/2017,1/2/2017,3,Electronic - Short Form,Web
Treadclimber,CAM49296 DSEESF16B,,1/3/2017,1/2/2017,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM49423 DOFG2T,,1/3/2017,1/2/2017,2,Online Shopping,Call Center Internal
Treadclimber,CAM49423 DOFG2T,,1/3/2017,1/2/2017,2,Online Shopping,Call Center Internal
Bowflex Max Trainer,CAM49424 DOSG2T,,1/3/2017,1/2/2017,2,Online Search,Call Center Internal
Treadclimber,CAM49424 DOSG2T,,1/3/2017,1/2/2017,4,Online Search,Call Center Internal
Bowflex Max Trainer,CAM49569 DODMEDIAIQEDL1,1/3/2017,1/3/2017,1/2/2017,2,Online Display,Web
Bowflex Max Trainer,CAM49569 DODMEDIAIQEDL1,,1/3/2017,1/2/2017,2,Online Display,Web
Bowflex Home Gyms,CAM49655 SAWDOSG2GSL,,1/3/2017,1/2/2017,1,Online Search,Call Center Internal
Bowflex Max Trainer,CAM49741 SUNDN120HUNNYTIC,1/3/2017,1/3/2017,1/2/2017,6,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49741 SUNDN120HUNNYTIC,,1/3/2017,1/2/2017,1,Short Form,Call Center Internal
Treadclimber,CAM49741 SUNDN120HUNNYTIC,,1/3/2017,1/2/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49741 SUNDN120HUNNYTIC,1/3/2017,1/3/2017,1/2/2017,2,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM49742 VEL*N120HUNNYTIC,1/3/2017,1/3/2017,1/2/2017,6,Short Form,Call Center Internal
Treadclimber,CAM49742 VEL*N120HUNNYTIC,,1/3/2017,1/2/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49743 SPKEN120HUNNYTIC,1/3/2017,1/3/2017,1/2/2017,7,Short Form,Call Center Internal
Treadclimber,CAM49743 SPKEN120HUNNYTIC,,1/3/2017,1/2/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM49747 JUSTN120HUNNYTIC,1/3/2017,1/3/2017,1/2/2017,4,Short Form,Call Center Internal
