Bowflex Max Trainer,CAM46526 DCBHOMEWIN15,,4/25/2015,4/20/2015,1,Catalog,Web
Bowflex Max Trainer,CAM38406 SAWDPETPRINT12F,,4/22/2015,4/20/2015,1,Electronic - Print,Call Center Internal
Bowflex Max Trainer,CAM38406 SAWDPETPRINT12F,,4/23/2015,4/20/2015,1,Electronic - Print,Call Center Internal
Bowflex Max Trainer,CAM44915 dpeeprint14a,4/20/2015,4/20/2015,4/20/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM44915 dpeeprint14a,4/25/2015,4/25/2015,4/20/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45561 DPEEPRINT14B,4/21/2015,4/21/2015,4/20/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45561 DPEEPRINT14B,4/25/2015,4/25/2015,4/20/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45562 DPEEPRINT14C,4/22/2015,4/22/2015,4/20/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45563 DPEEPRINT14D,4/22/2015,4/22/2015,4/20/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM45563 DPEEPRINT14D,4/23/2015,4/23/2015,4/20/2015,1,Electronic - Print,Web
Bowflex Max Trainer,CAM44172 dseesf14a,4/20/2015,4/20/2015,4/20/2015,67,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,4/20/2015,4/20/2015,9,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,4/21/2015,4/21/2015,4/20/2015,37,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,4/21/2015,4/20/2015,7,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,4/22/2015,4/22/2015,4/20/2015,44,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,5/3/2015,4/22/2015,4/20/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,4/22/2015,4/20/2015,7,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,4/23/2015,4/23/2015,4/20/2015,44,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,4/23/2015,4/20/2015,6,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,4/24/2015,4/24/2015,4/20/2015,47,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,4/24/2015,4/20/2015,5,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,4/25/2015,4/25/2015,4/20/2015,31,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,4/25/2015,4/20/2015,8,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,4/26/2015,4/26/2015,4/20/2015,23,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44172 dseesf14a,,4/26/2015,4/20/2015,8,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44187 dseesf14c,4/20/2015,4/20/2015,4/20/2015,6,Electronic - Short Form,Web
