AdID Product Interest,PI Purchased (Item PI),Market Channel,Ad ID,Media Agency,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/5/2017,6/8/2017,0,171.922
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/5/2017,6/8/2017,0,164.414
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/5/2017,6/8/2017,4,1198.197
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/5/2017,6/8/2017,1,524.774
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,Web,6/5/2017,6/8/2017,1,1650.149
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM50602 NTVNC120MX121KST,Kingstar Media,Call Center Internal,6/5/2017,6/8/2017,1,1537.536
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM47283 ICAOSGCDSL12,TouchPoint Integrated Communications,Web,6/5/2017,6/8/2017,1,299.549
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,6/5/2017,6/8/2017,2,1263.953
Treadclimber,Treadclimber,Online Search,CAM30841 icaosgctsl2,TouchPoint Integrated Communications,Web,6/5/2017,6/8/2017,1,1763.512
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Call Center Internal,6/5/2017,6/9/2017,1,2123.121
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Call Center Internal,6/5/2017,6/9/2017,0,.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/5/2017,6/9/2017,1,1500.749
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/5/2017,6/9/2017,2,2988.974
Bowflex Brand,Bowflex Revolution,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/5/2017,6/9/2017,1,3227.164
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/5/2017,6/9/2017,0,214.404
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,TouchPoint Integrated Communications,Web,6/5/2017,6/9/2017,1,1025.224
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM129 1800BOWFLEX_BST,Internal,Call Center Internal,6/5/2017,6/9/2017,1,299.549
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Display,CAM50721 ICAODG2DDL1,TouchPoint Integrated Communications,Web,6/5/2017,6/9/2017,1,299.549
Treadclimber,Bowflex Selecttech Dumbbells,Online Social,CAM48221 ICAOXFBTSCODE002,Social Code,Web,6/5/2017,6/9/2017,1,299.549
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/5/2017,6/10/2017,0,18.761
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/5/2017,6/10/2017,1,1500.749
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/5/2017,6/10/2017,3,2030.028
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,Call Center Internal,6/5/2017,6/10/2017,1,1500.749
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,TouchPoint Integrated Communications,Web,6/5/2017,6/10/2017,1,1716.965
Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Online Search,CAM45624 ICAOSGCESL2,TouchPoint Integrated Communications,Web,6/5/2017,6/10/2017,1,299.549
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/5/2017,6/10/2017,1,2189.938
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/5/2017,6/10/2017,0,.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Display,CAM50721 ICAODG2DDL1,TouchPoint Integrated Communications,Web,6/5/2017,6/10/2017,2,1115.615
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,TouchPoint Integrated Communications,Web,6/5/2017,6/10/2017,1,524.774
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,6/5/2017,6/10/2017,2,599.099
Treadclimber,Treadclimber,Email - Post Conversion,CAM50526 ICAMTTCEM5735,Internal,Call Center Internal,6/5/2017,6/10/2017,0,299.549
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/5/2017,6/11/2017,1,1507.506
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/5/2017,6/11/2017,0,26.244
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/5/2017,6/11/2017,1,1500.749
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/5/2017,6/11/2017,0,104.812
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,Call Center Internal,6/5/2017,6/11/2017,1,2220.719
Bowflex Brand,Treadclimber,Online Search,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,Call Center Internal,6/5/2017,6/11/2017,0,.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/5/2017,6/11/2017,0,45.012
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/5/2017,6/11/2017,2,3245.943
Bowflex Brand,Treadclimber,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/5/2017,6/11/2017,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/5/2017,6/11/2017,2,3217.715
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/5/2017,6/11/2017,0,.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,6/5/2017,6/11/2017,2,561.561
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Social,CAM48231 ICAOXFBDSCODE002,Social Code,Web,6/5/2017,6/11/2017,2,749.249
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/12/2017,6/12/2017,1,2813.811
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/12/2017,0,188.629
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/12/2017,4,6516.811
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/12/2017,1,299.549
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/12/2017,1,524.774
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/12/2017,1,1500.749
Bowflex Home Gyms,Bowflex Max Trainer,Online Display,CAM50720 ICAODG2GDL1,TouchPoint Integrated Communications,Web,6/12/2017,6/12/2017,1,1500.749
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45842 ICAOSGCESL9,TouchPoint Integrated Communications,Web,6/12/2017,6/12/2017,1,1500.749
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,TouchPoint Integrated Communications,Web,6/12/2017,6/12/2017,1,299.549
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,6/12/2017,6/12/2017,1,556.406
Treadclimber,Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Internal,Call Center Internal,6/12/2017,6/12/2017,1,1987.464
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/12/2017,6/13/2017,2,3527.024
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49449 BOWWEB800CA,Internal,Call Center Internal,6/12/2017,6/13/2017,0,.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/13/2017,0,94.314
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/13/2017,1,1092.041
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/13/2017,1,299.549
Bowflex Brand,Bowflex Revolution,Online Search,CAM30891 SAWICAOSGCW,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/13/2017,0,.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,6/12/2017,6/13/2017,1,299.549
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM37662 icaosgcwsl23,TouchPoint Integrated Communications,Web,6/12/2017,6/13/2017,0,94.314
Bowflex Brand,Bowflex Revolution,Online Search,CAM37662 icaosgcwsl23,TouchPoint Integrated Communications,Web,6/12/2017,6/13/2017,1,2777.024
Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Electronic - Short Form,CAM45694 ICASESF14B,Kingstar Media,Web,6/12/2017,6/13/2017,1,262.012
Bowflex Max Trainer,Bowflex Max Trainer,Email - Post Conversion,CAM50520 ICAMEBMEM5729,Internal,Call Center Internal,6/12/2017,6/13/2017,0,171.922
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45692 SAWICAOFG2E,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/13/2017,1,1463.212
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/12/2017,6/13/2017,1,1388.137
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,6/12/2017,6/13/2017,0,74.324
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,6/12/2017,6/13/2017,2,824.324
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/14/2017,0,503.808
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,6/12/2017,6/14/2017,1,1560.059
