Lead PI,Ad ID,Media Agency,Info Kit Date,Inquiry Date,Inquiry Week Monday,Leads,Market Channel,Origin
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71555975,Electronic - UnSourced,Web
Bowflex HVT,CAM51286 DODAMBHDL1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71556075,Online Display,Web
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71556175,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,11/1/2017,8/13/2017,8/7/2017,71556275,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71556375,Online Search,Web
Treadclimber,CAM35313 dodg2tdl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71556575,Online Display,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71556675,Online Shopping,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71556775,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71556975,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71557075,Online Shopping,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71557076,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71557275,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71557375,Online Display,Web
Bowflex Brand,CAM39441 dosbigl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71557475,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71557575,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71557675,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71557976,Online Shopping,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71558076,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71558276,Online Shopping,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71558277,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71558376,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71558676,Online Search,Web
Bowflex Revolution,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71558776,Online Shopping,Web
Treadclimber,CAM44065 SAWDOSG2TMOBILE2,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71558876,Online Search,Call Center Internal
Bowflex Max Trainer,CAM51504 IFC*N60*M350CTIC,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71558877,Short Form,Call Center Internal
Treadclimber,CAM51504 IFC*N60*M350CTIC,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71558878,Short Form,Call Center Internal
Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71558879,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71558882,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,8/13/2017,8/7/2017,71558980,Electronic - UnSourced,Web
Bowflex HVT,CAM50803 DODG2HVL1,TouchPoint Integrated Communications,8/13/2017,8/13/2017,8/7/2017,71559079,Online Video,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71559179,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71559279,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,8/13/2017,8/7/2017,71559280,Online Shopping,Web
