Market Channel,Ad ID,Order Week Monday,Date,Count of Orders,Total Revenue
Online Search,CAM32308 SAWDOSMSNC,11/17/2014,11/18/2014,1,.00
Online Search,CAM32376 dosg2csl1,11/17/2014,11/18/2014,4,1780.14
Online Search,CAM32380 dosmsncsl1,11/17/2014,11/18/2014,6,3537.01
Online Shopping,CAM33953 SAWDOFG2C,11/17/2014,11/18/2014,4,8298.53
Online Shopping,CAM33954 SAWDOFBECC,11/17/2014,11/18/2014,1,1073.51
Online Shopping,CAM33966 dofg2cfeed1,11/17/2014,11/18/2014,6,568.39
Online Shopping,CAM33968 dofpgcfeed1,11/17/2014,11/18/2014,1,492.38
Online Shopping,CAM33972 dofszcfeed1,11/17/2014,11/18/2014,1,921.53
Online Search,CAM32307 SAWDOSG2C,11/17/2014,11/19/2014,4,1898.32
Online Search,CAM32376 dosg2csl1,11/17/2014,11/19/2014,1,15.92
Online Search,CAM32380 dosmsncsl1,11/17/2014,11/19/2014,6,4038.28
Online Shopping,CAM33953 SAWDOFG2C,11/17/2014,11/19/2014,6,7107.846
Online Shopping,CAM33955 SAWDOFNEXTC,11/17/2014,11/19/2014,2,2140.88
Online Shopping,CAM33966 dofg2cfeed1,11/17/2014,11/19/2014,9,5436.63
Online Shopping,CAM33967 dofnextcfeed1,11/17/2014,11/19/2014,1,1017.69
Online Shopping,CAM33968 dofpgcfeed1,11/17/2014,11/19/2014,1,3130.92
Online Search,CAM32307 SAWDOSG2C,11/17/2014,11/20/2014,2,904.86
Online Search,CAM32376 dosg2csl1,11/17/2014,11/20/2014,3,1617.88
Online Shopping,CAM33953 SAWDOFG2C,11/17/2014,11/20/2014,4,179.89
Online Shopping,CAM33966 dofg2cfeed1,11/17/2014,11/20/2014,8,2227.90
Online Shopping,CAM33967 dofnextcfeed1,11/17/2014,11/20/2014,1,63.54
Online Search,CAM32376 dosg2csl1,11/17/2014,11/21/2014,3,304.98
Online Search,CAM32380 dosmsncsl1,11/17/2014,11/21/2014,4,3470.93
Online Shopping,CAM33953 SAWDOFG2C,11/17/2014,11/21/2014,6,4035.43
Online Shopping,CAM33956 SAWDOFPGC,11/17/2014,11/21/2014,1,.00
Online Shopping,CAM33960 SAWDOFSZC,11/17/2014,11/21/2014,1,320.30
Online Shopping,CAM33966 dofg2cfeed1,11/17/2014,11/21/2014,9,4355.87
Online Shopping,CAM41242 dofbeccfeed2,11/17/2014,11/21/2014,1,24.38
Online Search,CAM32307 SAWDOSG2C,11/17/2014,11/22/2014,3,6856.21
Online Search,CAM32376 dosg2csl1,11/17/2014,11/22/2014,2,721.58
Online Search,CAM32380 dosmsncsl1,11/17/2014,11/22/2014,4,3256.48
Online Shopping,CAM33953 SAWDOFG2C,11/17/2014,11/22/2014,2,4581.46
Online Shopping,CAM33966 dofg2cfeed1,11/17/2014,11/22/2014,12,8758.68
Online Shopping,CAM33972 dofszcfeed1,11/17/2014,11/22/2014,1,19.92
Online Shopping,CAM41242 dofbeccfeed2,11/17/2014,11/22/2014,1,69.58
Online Search,CAM32307 SAWDOSG2C,11/17/2014,11/23/2014,1,2031.93
Online Search,CAM32308 SAWDOSMSNC,11/17/2014,11/23/2014,1,1302.50
Online Search,CAM32376 dosg2csl1,11/17/2014,11/23/2014,7,3642.05
Online Search,CAM32380 dosmsncsl1,11/17/2014,11/23/2014,3,2305.80
Online Shopping,CAM33966 dofg2cfeed1,11/17/2014,11/23/2014,9,9908.65
Online Search,CAM32307 SAWDOSG2C,11/24/2014,11/24/2014,1,.00
Online Search,CAM32308 SAWDOSMSNC,11/24/2014,11/24/2014,2,588.00
Online Search,CAM32376 dosg2csl1,11/24/2014,11/24/2014,1,42.24
Online Search,CAM32380 dosmsncsl1,11/24/2014,11/24/2014,2,1627.89
Online Shopping,CAM33953 SAWDOFG2C,11/24/2014,11/24/2014,4,3763.83
Online Shopping,CAM33956 SAWDOFPGC,11/24/2014,11/24/2014,1,1974.96
Online Shopping,CAM33966 dofg2cfeed1,11/24/2014,11/24/2014,13,6879.79
Online Shopping,CAM33968 dofpgcfeed1,11/24/2014,11/24/2014,1,342.89
Online Shopping,CAM41242 dofbeccfeed2,11/24/2014,11/24/2014,1,1868.93
Online Search,CAM32307 SAWDOSG2C,11/24/2014,11/25/2014,1,214.92
Online Search,CAM32308 SAWDOSMSNC,11/24/2014,11/25/2014,3,3880.334
Online Search,CAM32376 dosg2csl1,11/24/2014,11/25/2014,1,57.94
Online Search,CAM32380 dosmsncsl1,11/24/2014,11/25/2014,1,522.16
Online Shopping,CAM33953 SAWDOFG2C,11/24/2014,11/25/2014,1,43.98
Online Shopping,CAM33966 dofg2cfeed1,11/24/2014,11/25/2014,4,1578.92
Online Search,CAM32307 SAWDOSG2C,11/24/2014,11/26/2014,5,3368.69
Online Search,CAM32308 SAWDOSMSNC,11/24/2014,11/26/2014,2,3541.55
Online Search,CAM32376 dosg2csl1,11/24/2014,11/26/2014,1,623.27
Online Shopping,CAM33956 SAWDOFPGC,11/24/2014,11/26/2014,1,.00
Online Shopping,CAM33966 dofg2cfeed1,11/24/2014,11/26/2014,7,5770.73
Online Search,CAM32376 dosg2csl1,11/24/2014,11/27/2014,1,19.06
Online Search,CAM32380 dosmsncsl1,11/24/2014,11/27/2014,3,1996.58
Online Shopping,CAM33966 dofg2cfeed1,11/24/2014,11/27/2014,6,1468.58
Online Search,CAM32308 SAWDOSMSNC,11/24/2014,11/28/2014,4,8285.75
Online Search,CAM32376 dosg2csl1,11/24/2014,11/28/2014,4,4379.22
Online Search,CAM32380 dosmsncsl1,11/24/2014,11/28/2014,15,21136.54
Online Shopping,CAM33953 SAWDOFG2C,11/24/2014,11/28/2014,3,6072.89
Online Shopping,CAM33966 dofg2cfeed1,11/24/2014,11/28/2014,11,11325.23
Online Search,CAM32307 SAWDOSG2C,11/24/2014,11/29/2014,1,217.91
Online Search,CAM32308 SAWDOSMSNC,11/24/2014,11/29/2014,2,1884.55
Online Search,CAM32376 dosg2csl1,11/24/2014,11/29/2014,3,4100.87
