Market Channel,Ad ID,Order Week Monday,Date,Count of Orders,Total Revenue
- None -,CAM33953 SAWDOFG2C,9/29/2014,10/1/2014,2,36.37
Online Search,CAM32376 dosg2csl1,9/29/2014,10/1/2014,1,33.46
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/1/2014,1,21.38
Online Shopping,CAM33955 SAWDOFNEXTC,9/29/2014,10/1/2014,2,2690.98
Online Shopping,CAM33956 SAWDOFPGC,9/29/2014,10/1/2014,1,2966.94
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/1/2014,9,3834.34
Online Shopping,CAM33967 dofnextcfeed1,9/29/2014,10/1/2014,2,1737.66
Un-Sourced,CAM32308 SAWDOSMSNC,9/29/2014,10/1/2014,1,2191.33
- None -,CAM32307 SAWDOSG2C,9/29/2014,10/2/2014,1,11.39
Online Search,CAM32376 dosg2csl1,9/29/2014,10/2/2014,1,39.44
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/2/2014,4,4871.83
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/2/2014,10,2307.13
Online Shopping,CAM33967 dofnextcfeed1,9/29/2014,10/2/2014,1,1848.00
Online Shopping,CAM33968 dofpgcfeed1,9/29/2014,10/2/2014,2,1179.18
Online Shopping,CAM34150 dofbicfeed1,9/29/2014,10/2/2014,1,815.13
- None -,CAM33953 SAWDOFG2C,9/29/2014,10/3/2014,2,18.26
Online Search,CAM32307 SAWDOSG2C,9/29/2014,10/3/2014,1,1238.76
Online Search,CAM32376 dosg2csl1,9/29/2014,10/3/2014,3,783.68
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/3/2014,2,2512.56
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/3/2014,4,721.33
Electronic - UnSourced,CAM33955 SAWDOFNEXTC,9/29/2014,10/4/2014,2,4588.34
OBC,CAM33953 SAWDOFG2C,9/29/2014,10/4/2014,1,2164.136
Online Search,CAM32307 SAWDOSG2C,9/29/2014,10/4/2014,1,211.44
Online Search,CAM32308 SAWDOSMSNC,9/29/2014,10/4/2014,1,1083.92
Online Search,CAM32376 dosg2csl1,9/29/2014,10/4/2014,3,1600.65
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/4/2014,3,4995.72
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/4/2014,6,5145.73
Online Search,CAM32307 SAWDOSG2C,9/29/2014,10/5/2014,1,42.19
Online Search,CAM32376 dosg2csl1,9/29/2014,10/5/2014,2,66.88
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/5/2014,3,4236.74
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/5/2014,4,3436.65
Online Shopping,CAM33972 dofszcfeed1,9/29/2014,10/5/2014,1,26.236
- None -,CAM32307 SAWDOSG2C,10/6/2014,10/6/2014,1,88.06
- None -,CAM32308 SAWDOSMSNC,10/6/2014,10/6/2014,1,27.33
Online Search,CAM32380 dosmsncsl1,10/6/2014,10/6/2014,2,537.13
Online Shopping,CAM33953 SAWDOFG2C,10/6/2014,10/6/2014,1,428.93
Online Shopping,CAM33966 dofg2cfeed1,10/6/2014,10/6/2014,8,1490.20
- None -,CAM32307 SAWDOSG2C,10/6/2014,10/7/2014,2,77.96
Online Search,CAM32307 SAWDOSG2C,10/6/2014,10/7/2014,1,25.66
Online Search,CAM32380 dosmsncsl1,10/6/2014,10/7/2014,4,5308.17
Online Search,CAM33024 SAWDOSBICMOBILE,10/6/2014,10/7/2014,1,1482.94
Online Shopping,CAM33966 dofg2cfeed1,10/6/2014,10/7/2014,6,830.21
- None -,CAM33953 SAWDOFG2C,10/6/2014,10/8/2014,1,63.49
Online Search,CAM32307 SAWDOSG2C,10/6/2014,10/8/2014,2,1235.27
Online Search,CAM32376 dosg2csl1,10/6/2014,10/8/2014,1,1081.42
Online Search,CAM32380 dosmsncsl1,10/6/2014,10/8/2014,2,2597.15
Online Shopping,CAM33953 SAWDOFG2C,10/6/2014,10/8/2014,1,373.86
Online Shopping,CAM33956 SAWDOFPGC,10/6/2014,10/8/2014,1,466.52
Online Shopping,CAM33966 dofg2cfeed1,10/6/2014,10/8/2014,5,249.11
Online Shopping,CAM33968 dofpgcfeed1,10/6/2014,10/8/2014,1,606.40
Short Form,CAM32307 SAWDOSG2C,10/6/2014,10/8/2014,1,1898.64
Online Search,CAM32307 SAWDOSG2C,10/6/2014,10/9/2014,1,1067.86
Online Search,CAM32376 dosg2csl1,10/6/2014,10/9/2014,1,1078.92
Online Search,CAM32380 dosmsncsl1,10/6/2014,10/9/2014,1,9.53
Online Shopping,CAM33966 dofg2cfeed1,10/6/2014,10/9/2014,6,903.52
Online Shopping,CAM33968 dofpgcfeed1,10/6/2014,10/9/2014,1,102.84
Online Search,CAM32307 SAWDOSG2C,10/6/2014,10/10/2014,1,854.93
Online Search,CAM32376 dosg2csl1,10/6/2014,10/10/2014,3,123.93
Online Shopping,CAM33966 dofg2cfeed1,10/6/2014,10/10/2014,2,440.73
Online Search,CAM32376 dosg2csl1,10/6/2014,10/11/2014,2,1704.36
Online Search,CAM32380 dosmsncsl1,10/6/2014,10/11/2014,1,43.30
Online Shopping,CAM33966 dofg2cfeed1,10/6/2014,10/11/2014,1,65.91
Online Shopping,CAM33972 dofszcfeed1,10/6/2014,10/11/2014,2,3847.14
Online Search,CAM32308 SAWDOSMSNC,10/6/2014,10/12/2014,1,1067.86
Online Search,CAM32376 dosg2csl1,10/6/2014,10/12/2014,1,42.60
Online Shopping,CAM33960 SAWDOFSZC,10/6/2014,10/12/2014,2,4320.66
Online Shopping,CAM33966 dofg2cfeed1,10/6/2014,10/12/2014,1,484.90
Online Shopping,CAM33972 dofszcfeed1,10/6/2014,10/12/2014,2,81.96
Catalog,CAM32308 SAWDOSMSNC,10/13/2014,10/13/2014,1,729.94
Online Search,CAM32307 SAWDOSG2C,10/13/2014,10/13/2014,1,1622.67
Online Search,CAM32380 dosmsncsl1,10/13/2014,10/13/2014,1,15.89
Online Shopping,CAM33966 dofg2cfeed1,10/13/2014,10/13/2014,1,18.19
Online Shopping,CAM33972 dofszcfeed1,10/13/2014,10/13/2014,3,2751.85
- None -,CAM32307 SAWDOSG2C,10/13/2014,10/14/2014,2,164.93
Online Search,CAM32308 SAWDOSMSNC,10/13/2014,10/14/2014,2,2468.84
Online Search,CAM32376 dosg2csl1,10/13/2014,10/14/2014,1,325.91
Online Search,CAM32380 dosmsncsl1,10/13/2014,10/14/2014,4,3416.89
