Market Channel,Ad ID,Order Week Monday,Date,Count of Orders,Total Revenue
Online Search,CAM32307 SAWDOSG2C,3/2/2015,3/5/2015,1,.00
Online Search,CAM32376 dosg2csl1,3/2/2015,3/5/2015,4,475.89
Online Search,CAM32380 dosmsncsl1,3/2/2015,3/5/2015,3,2136.66
Online Shopping,CAM33953 SAWDOFG2C,3/2/2015,3/5/2015,1,425.93
Online Shopping,CAM33955 SAWDOFNEXTC,3/2/2015,3/5/2015,1,577.14
Online Shopping,CAM33966 dofg2cfeed1,3/2/2015,3/5/2015,10,6250.48
Online Search,CAM46039 DOSG2CSL10,3/2/2015,3/5/2015,1,1038.96
Online Search,CAM32376 dosg2csl1,3/2/2015,3/6/2015,3,373.36
Online Shopping,CAM33953 SAWDOFG2C,3/2/2015,3/6/2015,1,530.19
Online Shopping,CAM33966 dofg2cfeed1,3/2/2015,3/6/2015,14,2429.20
Online Shopping,CAM33968 dofpgcfeed1,3/2/2015,3/6/2015,1,3881.96
Online Search,CAM32376 dosg2csl1,3/2/2015,3/7/2015,1,1991.72
Online Search,CAM32380 dosmsncsl1,3/2/2015,3/7/2015,1,10.69
Online Shopping,CAM33953 SAWDOFG2C,3/2/2015,3/7/2015,1,2352.93
Online Shopping,CAM33966 dofg2cfeed1,3/2/2015,3/7/2015,7,4539.27
Online Search,CAM32307 SAWDOSG2C,3/2/2015,3/8/2015,1,2121.81
Online Search,CAM32376 dosg2csl1,3/2/2015,3/8/2015,3,4102.73
Online Shopping,CAM33966 dofg2cfeed1,3/2/2015,3/8/2015,13,11730.55
Online Shopping,CAM33968 dofpgcfeed1,3/2/2015,3/8/2015,1,1158.94
Online Search,CAM32307 SAWDOSG2C,3/9/2015,3/9/2015,1,75.47
Online Search,CAM32376 dosg2csl1,3/9/2015,3/9/2015,1,63.99
Online Search,CAM32380 dosmsncsl1,3/9/2015,3/9/2015,2,938.37
Online Shopping,CAM33953 SAWDOFG2C,3/9/2015,3/9/2015,1,2139.04
Online Shopping,CAM33966 dofg2cfeed1,3/9/2015,3/9/2015,6,1745.26
Online Shopping,CAM33972 dofszcfeed1,3/9/2015,3/9/2015,1,42.50
Online Search,CAM32307 SAWDOSG2C,3/9/2015,3/10/2015,2,186.51
Online Search,CAM32308 SAWDOSMSNC,3/9/2015,3/10/2015,1,32.92
Online Search,CAM32380 dosmsncsl1,3/9/2015,3/10/2015,3,1227.17
Online Shopping,CAM33956 SAWDOFPGC,3/9/2015,3/10/2015,1,3220.98
Online Shopping,CAM33966 dofg2cfeed1,3/9/2015,3/10/2015,4,2898.22
Online Shopping,CAM33972 dofszcfeed1,3/9/2015,3/10/2015,1,57.77
Online Search,CAM32307 SAWDOSG2C,3/9/2015,3/11/2015,1,.00
Online Search,CAM32308 SAWDOSMSNC,3/9/2015,3/11/2015,1,1378.91
Online Search,CAM32376 dosg2csl1,3/9/2015,3/11/2015,3,535.22
Online Search,CAM32380 dosmsncsl1,3/9/2015,3/11/2015,1,16.20
Online Shopping,CAM33955 SAWDOFNEXTC,3/9/2015,3/11/2015,1,1633.91
Online Shopping,CAM33966 dofg2cfeed1,3/9/2015,3/11/2015,7,4318.79
Online Search,CAM32308 SAWDOSMSNC,3/9/2015,3/12/2015,1,211.39
Online Search,CAM32380 dosmsncsl1,3/9/2015,3/12/2015,2,2009.45
Online Shopping,CAM33953 SAWDOFG2C,3/9/2015,3/12/2015,2,2240.37
Online Shopping,CAM33966 dofg2cfeed1,3/9/2015,3/12/2015,3,236.89
Online Shopping,CAM33968 dofpgcfeed1,3/9/2015,3/12/2015,1,62.04
Online Search,CAM32307 SAWDOSG2C,3/9/2015,3/13/2015,1,1280.47
Online Search,CAM32376 dosg2csl1,3/9/2015,3/13/2015,2,1715.88
Online Search,CAM32380 dosmsncsl1,3/9/2015,3/13/2015,1,118.76
Online Shopping,CAM33960 SAWDOFSZC,3/9/2015,3/13/2015,1,264.56
Online Shopping,CAM33966 dofg2cfeed1,3/9/2015,3/13/2015,10,2874.09
Online Shopping,CAM33967 dofnextcfeed1,3/9/2015,3/13/2015,1,3673.84
Online Shopping,CAM33972 dofszcfeed1,3/9/2015,3/13/2015,1,116.59
Online Search,CAM32376 dosg2csl1,3/9/2015,3/14/2015,2,119.41
Online Search,CAM32380 dosmsncsl1,3/9/2015,3/14/2015,1,70.77
Online Shopping,CAM33953 SAWDOFG2C,3/9/2015,3/14/2015,1,2159.03
Online Shopping,CAM33966 dofg2cfeed1,3/9/2015,3/14/2015,6,4879.27
Online Search,CAM32308 SAWDOSMSNC,3/9/2015,3/15/2015,1,566.41
Online Search,CAM32376 dosg2csl1,3/9/2015,3/15/2015,3,4462.26
Online Shopping,CAM33966 dofg2cfeed1,3/9/2015,3/15/2015,9,5846.83
Online Search,CAM32307 SAWDOSG2C,3/16/2015,3/16/2015,1,105.83
Online Search,CAM32376 dosg2csl1,3/16/2015,3/16/2015,2,59.42
Online Search,CAM32380 dosmsncsl1,3/16/2015,3/16/2015,1,2271.54
Online Shopping,CAM33953 SAWDOFG2C,3/16/2015,3/16/2015,1,21.18
Online Shopping,CAM33966 dofg2cfeed1,3/16/2015,3/16/2015,9,5459.55
Online Shopping,CAM33972 dofszcfeed1,3/16/2015,3/16/2015,1,58.25
Online Search,CAM32376 dosg2csl1,3/16/2015,3/17/2015,1,535.18
Online Search,CAM32380 dosmsncsl1,3/16/2015,3/17/2015,1,320.68
Online Shopping,CAM33953 SAWDOFG2C,3/16/2015,3/17/2015,1,3496.94
Online Shopping,CAM33960 SAWDOFSZC,3/16/2015,3/17/2015,1,.00
Online Shopping,CAM33966 dofg2cfeed1,3/16/2015,3/17/2015,3,1642.59
Online Shopping,CAM33967 dofnextcfeed1,3/16/2015,3/17/2015,1,215.92
Online Shopping,CAM33972 dofszcfeed1,3/16/2015,3/17/2015,1,41.71
Online Search,CAM32307 SAWDOSG2C,3/16/2015,3/18/2015,1,68.92
Online Search,CAM32376 dosg2csl1,3/16/2015,3/18/2015,5,1282.34
Online Shopping,CAM33953 SAWDOFG2C,3/16/2015,3/18/2015,3,1435.41
Online Shopping,CAM33966 dofg2cfeed1,3/16/2015,3/18/2015,13,3389.77
Online Shopping,CAM33972 dofszcfeed1,3/16/2015,3/18/2015,1,37.44
Online Search,CAM32307 SAWDOSG2C,3/16/2015,3/19/2015,1,65.71
Online Search,CAM32376 dosg2csl1,3/16/2015,3/19/2015,1,169.97
Online Search,CAM32380 dosmsncsl1,3/16/2015,3/19/2015,1,120.85
Online Shopping,CAM33966 dofg2cfeed1,3/16/2015,3/19/2015,8,2701.76
Online Search,CAM32376 dosg2csl1,3/16/2015,3/20/2015,1,14.82
Online Search,CAM32380 dosmsncsl1,3/16/2015,3/20/2015,1,59.46
Online Shopping,CAM33966 dofg2cfeed1,3/16/2015,3/20/2015,10,6590.09
Online Search,CAM32307 SAWDOSG2C,3/16/2015,3/21/2015,1,1068.93
Online Search,CAM32376 dosg2csl1,3/16/2015,3/21/2015,2,64.64
Online Shopping,CAM33966 dofg2cfeed1,3/16/2015,3/21/2015,9,3929.22
Online Search,CAM32376 dosg2csl1,3/16/2015,3/22/2015,1,39.83
Online Search,CAM32380 dosmsncsl1,3/16/2015,3/22/2015,1,821.61
Online Shopping,CAM33953 SAWDOFG2C,3/16/2015,3/22/2015,1,53.16
Online Shopping,CAM33966 dofg2cfeed1,3/16/2015,3/22/2015,6,2231.81
Online Shopping,CAM33968 dofpgcfeed1,3/16/2015,3/22/2015,1,79.95
Online Search,CAM32307 SAWDOSG2C,3/23/2015,3/23/2015,3,74.97
Online Search,CAM32376 dosg2csl1,3/23/2015,3/23/2015,2,1080.82
Online Shopping,CAM33953 SAWDOFG2C,3/23/2015,3/23/2015,1,31.75
Online Shopping,CAM33966 dofg2cfeed1,3/23/2015,3/23/2015,7,666.29
Online Search,CAM46040 DOSBICSL4,3/23/2015,3/23/2015,1,1370.43
Online Search,CAM32307 SAWDOSG2C,3/23/2015,3/24/2015,1,846.94
Online Search,CAM32376 dosg2csl1,3/23/2015,3/24/2015,2,78.04
Online Shopping,CAM33953 SAWDOFG2C,3/23/2015,3/24/2015,1,460.96
