Market Channel,Ad ID,Order Week Monday,Date,Count of Orders,Total Revenue
- None -,CAM33953 SAWDOFG2C,9/29/2014,10/1/2014,2,36.37
Online Search,CAM32376 dosg2csl1,9/29/2014,10/1/2014,1,33.46
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/1/2014,1,21.38
Online Shopping,CAM33955 SAWDOFNEXTC,9/29/2014,10/1/2014,2,2690.98
Online Shopping,CAM33956 SAWDOFPGC,9/29/2014,10/1/2014,1,2966.94
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/1/2014,9,3834.34
Online Shopping,CAM33967 dofnextcfeed1,9/29/2014,10/1/2014,2,1737.66
Un-Sourced,CAM32308 SAWDOSMSNC,9/29/2014,10/1/2014,1,2191.33
- None -,CAM32307 SAWDOSG2C,9/29/2014,10/2/2014,1,11.39
Online Search,CAM32376 dosg2csl1,9/29/2014,10/2/2014,1,39.44
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/2/2014,4,4871.83
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/2/2014,10,2314.96
Online Shopping,CAM33967 dofnextcfeed1,9/29/2014,10/2/2014,1,1848.00
Online Shopping,CAM33968 dofpgcfeed1,9/29/2014,10/2/2014,2,1179.18
Online Shopping,CAM34150 dofbicfeed1,9/29/2014,10/2/2014,1,815.13
- None -,CAM33953 SAWDOFG2C,9/29/2014,10/3/2014,2,18.26
Online Search,CAM32307 SAWDOSG2C,9/29/2014,10/3/2014,1,1238.76
Online Search,CAM32376 dosg2csl1,9/29/2014,10/3/2014,3,783.68
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/3/2014,2,2512.56
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/3/2014,4,721.33
Electronic - UnSourced,CAM33955 SAWDOFNEXTC,9/29/2014,10/4/2014,2,4588.34
OBC,CAM33953 SAWDOFG2C,9/29/2014,10/4/2014,1,2164.136
Online Search,CAM32307 SAWDOSG2C,9/29/2014,10/4/2014,1,211.44
Online Search,CAM32308 SAWDOSMSNC,9/29/2014,10/4/2014,1,1083.92
Online Search,CAM32376 dosg2csl1,9/29/2014,10/4/2014,3,1600.65
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/4/2014,3,4995.72
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/4/2014,6,5145.73
Online Search,CAM32307 SAWDOSG2C,9/29/2014,10/5/2014,1,42.19
Online Search,CAM32376 dosg2csl1,9/29/2014,10/5/2014,1,52.17
Online Search,CAM32380 dosmsncsl1,9/29/2014,10/5/2014,3,4237.73
Online Shopping,CAM33966 dofg2cfeed1,9/29/2014,10/5/2014,4,3436.65
Online Shopping,CAM33972 dofszcfeed1,9/29/2014,10/5/2014,1,26.236
Online Search,CAM32380 dosmsncsl1,10/6/2014,10/6/2014,1,11.20
