Market Channel,Ad ID,Order Week Monday,Date,Count of Orders,Total Revenue
Online Search,CAM32307 SAWDOSG2C,1/12/2015,1/13/2015,1,571.56
Online Search,CAM32308 SAWDOSMSNC,1/12/2015,1/13/2015,2,647.60
Online Search,CAM32376 dosg2csl1,1/12/2015,1/13/2015,2,769.83
Online Shopping,CAM33953 SAWDOFG2C,1/12/2015,1/13/2015,5,4184.97
Online Shopping,CAM33966 dofg2cfeed1,1/12/2015,1/13/2015,7,7936.32
Online Shopping,CAM33972 dofszcfeed1,1/12/2015,1/13/2015,1,53.35
Online Search,CAM44509 SAWDOSBIC,1/12/2015,1/13/2015,1,2462.46
Online Search,CAM46039 DOSG2CSL10,1/12/2015,1/13/2015,1,1085.16
Online Search,CAM32307 SAWDOSG2C,1/12/2015,1/14/2015,1,.00
Online Search,CAM32376 dosg2csl1,1/12/2015,1/14/2015,1,24.88
Online Search,CAM32380 dosmsncsl1,1/12/2015,1/14/2015,2,415.35
Online Shopping,CAM33953 SAWDOFG2C,1/12/2015,1/14/2015,2,595.27
Online Shopping,CAM33966 dofg2cfeed1,1/12/2015,1/14/2015,12,11206.97
Online Search,CAM32308 SAWDOSMSNC,1/12/2015,1/15/2015,1,29.40
Online Search,CAM32376 dosg2csl1,1/12/2015,1/15/2015,4,1047.26
Online Search,CAM32380 dosmsncsl1,1/12/2015,1/15/2015,2,627.70
Online Shopping,CAM33966 dofg2cfeed1,1/12/2015,1/15/2015,8,7396.50
Online Shopping,CAM33968 dofpgcfeed1,1/12/2015,1/15/2015,1,10.79
Online Search,CAM32307 SAWDOSG2C,1/12/2015,1/16/2015,3,736.16
Online Search,CAM32376 dosg2csl1,1/12/2015,1/16/2015,1,24.95
Online Search,CAM32380 dosmsncsl1,1/12/2015,1/16/2015,1,81.00
Online Shopping,CAM33966 dofg2cfeed1,1/12/2015,1/16/2015,15,11253.92
Online Search,CAM32376 dosg2csl1,1/12/2015,1/17/2015,2,1204.29
Online Search,CAM32380 dosmsncsl1,1/12/2015,1/17/2015,2,1930.67
Online Shopping,CAM33966 dofg2cfeed1,1/12/2015,1/17/2015,9,6177.96
Online Shopping,CAM33968 dofpgcfeed1,1/12/2015,1/17/2015,2,1217.92
Online Search,CAM32307 SAWDOSG2C,1/12/2015,1/18/2015,2,2321.46
Online Search,CAM32376 dosg2csl1,1/12/2015,1/18/2015,4,3048.24
Online Search,CAM32380 dosmsncsl1,1/12/2015,1/18/2015,3,388.39
Online Shopping,CAM33953 SAWDOFG2C,1/12/2015,1/18/2015,2,1875.51
Online Shopping,CAM33966 dofg2cfeed1,1/12/2015,1/18/2015,13,11805.40
Online Shopping,CAM33968 dofpgcfeed1,1/12/2015,1/18/2015,2,2121.15
Online Shopping,CAM41242 dofbeccfeed2,1/12/2015,1/18/2015,1,70.91
