Market Channel,Ad ID,Order Week Monday,Date,Count of Orders,Total Revenue
Online Search,CAM32307 SAWDOSG2C,12/15/2014,12/16/2014,1,852.93
Online Search,CAM32376 dosg2csl1,12/15/2014,12/16/2014,3,98.00
Online Search,CAM32380 dosmsncsl1,12/15/2014,12/16/2014,2,223.60
Online Shopping,CAM33953 SAWDOFG2C,12/15/2014,12/16/2014,3,1878.68
Online Shopping,CAM33960 SAWDOFSZC,12/15/2014,12/16/2014,1,1761.63
Online Shopping,CAM33966 dofg2cfeed1,12/15/2014,12/16/2014,7,528.42
Online Search,CAM32307 SAWDOSG2C,12/15/2014,12/17/2014,23,2552.09
Online Search,CAM32376 dosg2csl1,12/15/2014,12/17/2014,2,304.91
Online Search,CAM32380 dosmsncsl1,12/15/2014,12/17/2014,1,426.93
Online Shopping,CAM33953 SAWDOFG2C,12/15/2014,12/17/2014,1,2047.97
Online Shopping,CAM33966 dofg2cfeed1,12/15/2014,12/17/2014,10,5534.82
Online Shopping,CAM33967 dofnextcfeed1,12/15/2014,12/17/2014,1,210.94
Online Shopping,CAM33968 dofpgcfeed1,12/15/2014,12/17/2014,2,257.43
Online Shopping,CAM33972 dofszcfeed1,12/15/2014,12/17/2014,3,1539.32
Online Search,CAM46039 DOSG2CSL10,12/15/2014,12/17/2014,1,1054.94
Online Search,CAM32307 SAWDOSG2C,12/15/2014,12/18/2014,1,64.86
Online Search,CAM32376 dosg2csl1,12/15/2014,12/18/2014,3,154.08
Online Search,CAM32380 dosmsncsl1,12/15/2014,12/18/2014,2,221.70
Online Shopping,CAM33953 SAWDOFG2C,12/15/2014,12/18/2014,4,39.37
Online Shopping,CAM33960 SAWDOFSZC,12/15/2014,12/18/2014,1,3432.27
Online Shopping,CAM33966 dofg2cfeed1,12/15/2014,12/18/2014,3,2301.32
Online Shopping,CAM33972 dofszcfeed1,12/15/2014,12/18/2014,2,1251.93
Online Shopping,CAM41242 dofbeccfeed2,12/15/2014,12/18/2014,1,1618.92
Online Search,CAM1887 dosg2ggl1bf_BFC,12/15/2014,12/19/2014,1,1782.35
Online Search,CAM32307 SAWDOSG2C,12/15/2014,12/19/2014,1,526.43
Online Search,CAM32376 dosg2csl1,12/15/2014,12/19/2014,2,1101.70
Online Search,CAM32380 dosmsncsl1,12/15/2014,12/19/2014,1,6.53
Online Shopping,CAM33953 SAWDOFG2C,12/15/2014,12/19/2014,1,6.45
Online Shopping,CAM33966 dofg2cfeed1,12/15/2014,12/19/2014,5,2601.98
Online Shopping,CAM33972 dofszcfeed1,12/15/2014,12/19/2014,1,149.11
Online Shopping,CAM33953 SAWDOFG2C,12/15/2014,12/20/2014,1,3207.86
Online Shopping,CAM33966 dofg2cfeed1,12/15/2014,12/20/2014,4,935.15
Online Shopping,CAM33967 dofnextcfeed1,12/15/2014,12/20/2014,1,1164.94
Online Shopping,CAM33972 dofszcfeed1,12/15/2014,12/20/2014,1,53.48
Online Search,CAM32376 dosg2csl1,12/15/2014,12/21/2014,1,630.99
Online Search,CAM32380 dosmsncsl1,12/15/2014,12/21/2014,1,1260.77
Online Shopping,CAM33966 dofg2cfeed1,12/15/2014,12/21/2014,2,1820.12
Online Shopping,CAM33967 dofnextcfeed1,12/15/2014,12/21/2014,1,52.18
Online Shopping,CAM33968 dofpgcfeed1,12/15/2014,12/21/2014,2,1673.62
Online Shopping,CAM33972 dofszcfeed1,12/15/2014,12/21/2014,2,3202.96
Online Search,CAM32307 SAWDOSG2C,12/22/2014,12/22/2014,5,6861.997
Online Search,CAM32376 dosg2csl1,12/22/2014,12/22/2014,1,153.29
Online Shopping,CAM33953 SAWDOFG2C,12/22/2014,12/22/2014,3,176.51
Online Shopping,CAM33966 dofg2cfeed1,12/22/2014,12/22/2014,10,3201.98
Online Shopping,CAM33972 dofszcfeed1,12/22/2014,12/22/2014,3,2098.59
Online Search,CAM46039 DOSG2CSL10,12/22/2014,12/22/2014,1,1058.94
Online Search,CAM32376 dosg2csl1,12/22/2014,12/23/2014,2,25.79
Online Search,CAM32380 dosmsncsl1,12/22/2014,12/23/2014,1,212.43
Online Shopping,CAM33955 SAWDOFNEXTC,12/22/2014,12/23/2014,1,.00
Online Shopping,CAM33960 SAWDOFSZC,12/22/2014,12/23/2014,1,3088.83
Online Shopping,CAM33966 dofg2cfeed1,12/22/2014,12/23/2014,3,1395.00
Online Shopping,CAM33972 dofszcfeed1,12/22/2014,12/23/2014,1,26.50
Online Search,CAM32307 SAWDOSG2C,12/22/2014,12/24/2014,1,143.25
Online Search,CAM32376 dosg2csl1,12/22/2014,12/24/2014,1,55.96
Online Search,CAM32380 dosmsncsl1,12/22/2014,12/24/2014,2,90.29
Online Shopping,CAM33967 dofnextcfeed1,12/22/2014,12/24/2014,1,581.94
Online Shopping,CAM33968 dofpgcfeed1,12/22/2014,12/24/2014,2,2982.95
Online Search,CAM46039 DOSG2CSL10,12/22/2014,12/24/2014,1,999.00
Online Search,CAM32376 dosg2csl1,12/22/2014,12/25/2014,1,6.47
Online Search,CAM32380 dosmsncsl1,12/22/2014,12/25/2014,1,1335.36
Online Shopping,CAM33966 dofg2cfeed1,12/22/2014,12/25/2014,4,2406.94
Online Search,CAM46039 DOSG2CSL10,12/22/2014,12/25/2014,1,1058.94
Online Search,CAM32307 SAWDOSG2C,12/22/2014,12/26/2014,2,291.41
Online Search,CAM32308 SAWDOSMSNC,12/22/2014,12/26/2014,2,70.06
Online Search,CAM32380 dosmsncsl1,12/22/2014,12/26/2014,3,1896.07
Online Shopping,CAM33953 SAWDOFG2C,12/22/2014,12/26/2014,1,169.73
Online Search,CAM32308 SAWDOSMSNC,12/22/2014,12/27/2014,1,32.99
Online Search,CAM32376 dosg2csl1,12/22/2014,12/27/2014,3,4650.93
Online Search,CAM32380 dosmsncsl1,12/22/2014,12/27/2014,1,119.75
Online Shopping,CAM33968 dofpgcfeed1,12/22/2014,12/27/2014,2,1298.90
Online Search,CAM32307 SAWDOSG2C,12/22/2014,12/28/2014,1,21.72
Online Search,CAM32376 dosg2csl1,12/22/2014,12/28/2014,5,2364.75
Online Search,CAM32380 dosmsncsl1,12/22/2014,12/28/2014,5,6692.94
Online Search,CAM32307 SAWDOSG2C,12/29/2014,12/29/2014,2,.00
Online Search,CAM32376 dosg2csl1,12/29/2014,12/29/2014,6,2723.17
Online Search,CAM32307 SAWDOSG2C,12/29/2014,12/30/2014,2,972.09
Online Search,CAM32308 SAWDOSMSNC,12/29/2014,12/30/2014,1,41.17
Online Search,CAM32376 dosg2csl1,12/29/2014,12/30/2014,1,590.18
Online Search,CAM32380 dosmsncsl1,12/29/2014,12/30/2014,1,75.45
Online Shopping,CAM33956 SAWDOFPGC,12/29/2014,12/30/2014,2,683.57
Online Shopping,CAM33968 dofpgcfeed1,12/29/2014,12/30/2014,1,640.93
Online Search,CAM32376 dosg2csl1,12/29/2014,12/31/2014,5,3843.66
Online Search,CAM32380 dosmsncsl1,12/29/2014,12/31/2014,3,1075.66
Online Shopping,CAM33972 dofszcfeed1,12/29/2014,12/31/2014,1,1058.94
Online Search,CAM32376 dosg2csl1,12/29/2014,1/1/2015,2,134.90
Online Search,CAM32380 dosmsncsl1,12/29/2014,1/1/2015,1,233.23
Online Shopping,CAM33966 dofg2cfeed1,12/29/2014,1/1/2015,1,3.24
Online Search,CAM46039 DOSG2CSL10,12/29/2014,1/1/2015,2,2359.50
Online Search,CAM32307 SAWDOSG2C,12/29/2014,1/2/2015,2,.00
Online Search,CAM32308 SAWDOSMSNC,12/29/2014,1/2/2015,1,528.94
Online Search,CAM32376 dosg2csl1,12/29/2014,1/2/2015,5,2025.53
Online Search,CAM32380 dosmsncsl1,12/29/2014,1/2/2015,5,4343.26
