Market Channel,Ad ID,Order Week Monday,Date,Count of Orders,Total Revenue
Online Search,CAM32308 SAWDOSMSNC,4/27/2015,4/30/2015,1,16.66
Online Search,CAM32376 dosg2csl1,4/27/2015,4/30/2015,3,2535.50
Online Shopping,CAM33953 SAWDOFG2C,4/27/2015,4/30/2015,1,650.66
Online Shopping,CAM33966 dofg2cfeed1,4/27/2015,4/30/2015,5,4084.47
Online Shopping,CAM33953 SAWDOFG2C,4/27/2015,5/1/2015,1,1903.04
Online Shopping,CAM33966 dofg2cfeed1,4/27/2015,5/1/2015,5,2099.68
Online Search,CAM32380 dosmsncsl1,4/27/2015,5/2/2015,2,1082.01
Online Shopping,CAM33966 dofg2cfeed1,4/27/2015,5/2/2015,13,15465.61
Online Shopping,CAM33972 dofszcfeed1,4/27/2015,5/2/2015,1,32.85
Online Search,CAM32307 SAWDOSG2C,4/27/2015,5/3/2015,1,1341.93
Online Search,CAM32376 dosg2csl1,4/27/2015,5/3/2015,5,4012.30
Online Search,CAM32380 dosmsncsl1,4/27/2015,5/3/2015,1,245.02
Online Shopping,CAM33953 SAWDOFG2C,4/27/2015,5/3/2015,2,3672.33
Online Shopping,CAM33966 dofg2cfeed1,4/27/2015,5/3/2015,7,2295.98
Online Shopping,CAM33968 dofpgcfeed1,4/27/2015,5/3/2015,1,1058.94
Online Shopping,CAM33972 dofszcfeed1,4/27/2015,5/3/2015,1,42.80
Online Search,CAM32307 SAWDOSG2C,5/4/2015,5/4/2015,3,1154.19
Online Search,CAM32376 dosg2csl1,5/4/2015,5/4/2015,2,613.22
Online Search,CAM32380 dosmsncsl1,5/4/2015,5/4/2015,1,15.89
Online Shopping,CAM33953 SAWDOFG2C,5/4/2015,5/4/2015,1,1160.54
Online Shopping,CAM33966 dofg2cfeed1,5/4/2015,5/4/2015,4,155.91
Online Shopping,CAM33968 dofpgcfeed1,5/4/2015,5/4/2015,1,171.31
Online Search,CAM46039 DOSG2CSL10,5/4/2015,5/4/2015,1,1078.92
Online Search,CAM32307 SAWDOSG2C,5/4/2015,5/5/2015,2,53.00
Online Search,CAM32308 SAWDOSMSNC,5/4/2015,5/5/2015,1,25.43
