46378176,Bowflex Catalog,Bowflex Max Trainer,Electronic - UnSourced,CAM127 1800BOWFLEX_BFC,Call Center Internal,7/24/2017,7/28/2017,1,1049.00
46378176,Bowflex Catalog,Bowflex Max Trainer,Electronic - UnSourced,CAM127 1800BOWFLEX_BFC,Call Center Internal,7/24/2017,7/28/2017,0,109.00
46378287,Treadclimber,Bowflex Selecttech Dumbbells,Online Search,CAM49424 DOSG2T,Call Center Internal,7/24/2017,7/28/2017,1,355.40
46378287,Treadclimber,Bowflex Selecttech Dumbbells,Online Search,CAM49424 DOSG2T,Call Center Internal,7/24/2017,7/28/2017,0,104.30
46378287,Treadclimber,Bowflex Selecttech Dumbbells,Online Search,CAM49424 DOSG2T,Call Center Internal,7/24/2017,7/28/2017,0,139.30
46378392,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45730 DOSG2ESL7,Web,7/24/2017,7/28/2017,1,1549.00
46378392,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45730 DOSG2ESL7,Web,7/24/2017,7/28/2017,0,129.00
46378492,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,7/24/2017,7/28/2017,1,1449.00
46378492,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,7/24/2017,7/28/2017,0,169.00
46378492,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,7/24/2017,7/28/2017,0,169.00
46378596,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,7/24/2017,7/28/2017,1,1999.00
46378596,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,7/24/2017,7/28/2017,0,149.00
46378596,Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,7/24/2017,7/28/2017,0,.00
46378803,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,7/24/2017,7/28/2017,1,1980.30
46378803,Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,7/24/2017,7/28/2017,0,.00
46378903,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,Web,7/24/2017,7/28/2017,1,2349.00
46379004,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,7/24/2017,7/28/2017,1,1971.00
46379004,Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM16616 DEGBFBHG,Web,7/24/2017,7/28/2017,0,.00
46379317,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45042 SAWDOFBIE,Call Center Internal,7/24/2017,7/28/2017,1,1549.00
46379317,Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45042 SAWDOFBIE,Call Center Internal,7/24/2017,7/28/2017,0,169.00
