Market Channel,Ad ID,Order Week Monday,Date,Count of Orders,Total Revenue
Online Search,CAM32380 dosmsncsl1,3/30/2015,3/31/2015,1,104.44
Online Shopping,CAM33966 dofg2cfeed1,3/30/2015,3/31/2015,6,2607.48
Online Shopping,CAM33968 dofpgcfeed1,3/30/2015,3/31/2015,1,41.74
Online Search,CAM32376 dosg2csl1,3/30/2015,4/1/2015,3,439.88
Online Search,CAM32380 dosmsncsl1,3/30/2015,4/1/2015,1,123.34
Online Shopping,CAM33953 SAWDOFG2C,3/30/2015,4/1/2015,1,625.67
Online Shopping,CAM33966 dofg2cfeed1,3/30/2015,4/1/2015,9,6854.18
Online Shopping,CAM33968 dofpgcfeed1,3/30/2015,4/1/2015,1,376.57
Online Search,CAM32308 SAWDOSMSNC,3/30/2015,4/2/2015,1,35.51
Online Search,CAM32376 dosg2csl1,3/30/2015,4/2/2015,3,514.49
Online Search,CAM32380 dosmsncsl1,3/30/2015,4/2/2015,2,835.62
Online Shopping,CAM33953 SAWDOFG2C,3/30/2015,4/2/2015,2,982.16
Online Shopping,CAM33966 dofg2cfeed1,3/30/2015,4/2/2015,3,3636.22
Online Search,CAM32376 dosg2csl1,3/30/2015,4/3/2015,1,24.58
Online Search,CAM32380 dosmsncsl1,3/30/2015,4/3/2015,1,17.52
Online Shopping,CAM33953 SAWDOFG2C,3/30/2015,4/3/2015,2,2323.48
Online Shopping,CAM33966 dofg2cfeed1,3/30/2015,4/3/2015,8,4014.20
Online Search,CAM32376 dosg2csl1,3/30/2015,4/4/2015,1,67.47
Online Shopping,CAM33966 dofg2cfeed1,3/30/2015,4/4/2015,5,6269.11
Online Search,CAM46039 DOSG2CSL10,3/30/2015,4/4/2015,1,852.93
Online Search,CAM32376 dosg2csl1,3/30/2015,4/5/2015,3,1628.40
Online Search,CAM32380 dosmsncsl1,3/30/2015,4/5/2015,1,41.42
Online Shopping,CAM33953 SAWDOFG2C,3/30/2015,4/5/2015,1,629.29
Online Shopping,CAM33966 dofg2cfeed1,3/30/2015,4/5/2015,3,182.39
Online Search,CAM32307 SAWDOSG2C,4/6/2015,4/6/2015,2,843.72
Online Shopping,CAM33966 dofg2cfeed1,4/6/2015,4/6/2015,4,4379.42
