Internal ID,AdID PI,PI Purchased (Item PI),Market Channel,Ad ID,Media Agency,Origin,Order Week Monday,Order Date,Item,Kits,Value (Product + Shipping)
45469543,Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45798 DSEESF14H,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,100358 BFX MAX TRAINER M3,1,1099.00
45469743,Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,100340 BFX 4.1 Bench,0,228.99
45469743,Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,100131 BFX 552 Dumbbell Kit,1,299.00
45469743,Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,"10172 BFX 79x37"" Mat",0,108.99
45469743,Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,100300 BFX SelectTech Stand,0,158.99
45469743,Bowflex Brand,Bowflex UpperCut,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,8001183 BFX PUSH UP BARS,0,18.90
45469743,Bowflex Brand,Bowflex Catalog,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,004-5562 Ankle Weights,0,19.99
45469843,Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,6/19/2017,6/25/2017,100334 BFX XTREME 2SE HOME GYM,1,1399.00
45469843,Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,6/19/2017,6/25/2017,95146 BFX 310# Rod Upgrade,0,.00
45469943,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM16616 DEGBFBHG,Internal,Web,6/19/2017,6/25/2017,100359 BFX MAX TRAINER M5,1,1549.00
45470243,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,100358 BFX MAX TRAINER M3,1,1049.00
45470243,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44497 dosg2esl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,100358-PS3 M3 Protection Plan - 3 years (90 Days),0,79.00
45470343,Bowflex Max Trainer,Bowflex Revolution,Online Search,CAM44497 dosg2esl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,160000 BFX Revolution,1,3198.99
45470343,Bowflex Max Trainer,Bowflex Revolution,Online Search,CAM44497 dosg2esl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,000-4275 BFX Revo 80# Resistance Upgrade,0,113.99
45470443,Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,6/19/2017,6/25/2017,100131 BFX 552 Dumbbell Kit,1,421.99
