Bowflex Max Trainer,CAM47197 IFC*N120HAMBYTIC,8/23/2015,8/23/2015,8/17/2015,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/17/2015,8/17/2015,8/17/2015,3,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/18/2015,8/18/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/19/2015,8/19/2015,8/17/2015,5,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47198 ION*N120HAMBYTIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,4,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,,8/21/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47291 DISMN60*HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/20/2015,8/20/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/21/2015,8/21/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/22/2015,8/22/2015,8/17/2015,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47361 PUREN180HAMF*TIC,8/19/2015,8/19/2015,8/17/2015,1,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM47362 H2**N180HAMF*TIC,8/17/2015,8/17/2015,8/17/2015,9,Short Form,Call Center Internal
Bowflex Max Trainer,CAM47362 H2**N180HAMF*TIC,8/18/2015,8/18/2015,8/17/2015,2,Short Form,Call Center Internal
