FG Item,FG LifeCycle Status,FG Inactive,Warranty Item,FG Internal ID,Warranty Part LifeCycle Status,Warranty Part Inactive,Warranty Period,Warranty Part On Hand,Warranty Part On Order
000-7200 NLS Costco 552 Stand Boxed,EOL - Use Up Stock,T,13009 B552 Base Assy,1321,In Production,F,10950,59,
000-7200 NLS Costco 552 Stand Boxed,EOL - Use Up Stock,T,000-4318 Pegs  21S Foot (Set of 4),1321,In Production,F,10950,19,
000-7200 NLS Costco 552 Stand Boxed,EOL - Use Up Stock,T,000-4319 Strap  Mult Hold Down (2F 2M),1321,In Production,F,10950,473,30
000-7200 NLS Costco 552 Stand Boxed,EOL - Use Up Stock,T,000-4404 Wheels  21S Caster (Set of 4),1321,In Production,F,10950,496,
001-0012 Revo XP Lat Tower Attachment,,T,10089 Mult Lat Cable Storage Grommet,1771,In Production,F,3650,10,
001-0012 Revo XP Lat Tower Attachment,,T,"11418 Cap  1"" Flat Round End",1771,In Production,F,3650,343,10
001-0012 Revo XP Lat Tower Attachment,,T,000-2499 U2 16mm Tube End Cap,1771,In Production,F,3650,476,
001-0012 Revo XP Lat Tower Attachment,,T,000-3302 U2 Lat Pull Down Bar,1771,In Production,F,3650,49,40
001-0012 Revo XP Lat Tower Attachment,,T,50334 SNAPHOOK LARGE MULTI USE,1771,In Production,F,3650,320,250
001-0012 Revo XP Lat Tower Attachment,,T,002-1069 LAT PULL ROPE WRNTY KIT REV-XP,1771,,F,3650,14,
001-3354 Gym Style Ab Crunch Attachment,In Production,F,001-3683 Lumbar Support Pad,1834,In Production,F,42,,
001-3354 Gym Style Ab Crunch Attachment,In Production,F,001-3606 ASSY DECAL PAD  BFX FLEX AB,1834,,F,42,5,
001-3354 Gym Style Ab Crunch Attachment,In Production,F,"50304 ROLLER FOAM  L=175MM 7""",1834,In Production,F,42,294,300
001-3354 Gym Style Ab Crunch Attachment,In Production,F,"90218 Cap, 3/4 End",1834,In Production,F,42,1724,
001-3354 Gym Style Ab Crunch Attachment,In Production,F,10074 Ult Locking Knob,1834,In Production,F,42,113,50
001-3354 Gym Style Ab Crunch Attachment,In Production,F,001-3675 FLX WRNTY  HW CARD PREMIUM AB,1834,,F,42,11,
001-3381 Preacher Curl Attach  Xtr X2,,F,10083 Cap  End 1-3 4x 2,1837,In Production,F,42,1074,
001-3381 Preacher Curl Attach  Xtr X2,,F,"000-2331 Plug  End 1.75""x2"" Tube",1837,In Production,F,42,36,75
001-3381 Preacher Curl Attach  Xtr X2,,F,10074 Ult Locking Knob,1837,In Production,F,42,113,50
001-3381 Preacher Curl Attach  Xtr X2,,F,001-3604 ASSY DECAL PAD  BFX FLEX,1837,,F,42,15,
001-3381 Preacher Curl Attach  Xtr X2,,F,001-3702 FLEX  PC SUPPORT ASSY,1837,,F,42,6,
001-3381 Preacher Curl Attach  Xtr X2,,F,001-3674 FLX WRNTY CBL ASY W 3 RNG STRP,1837,,F,42,7,
001-6393 Revolution XP Accessory Rack,,F,000-4004 Revo PVC Foot Cap,2023,,F,42,226,15
001-6393 Revolution XP Accessory Rack,,F,10083 Cap  End 1-3 4x 2,2023,In Production,F,42,1074,
001-6393 Revolution XP Accessory Rack,,F,000-3890 Decal  B220 XS Plate,2023,EOL - Use Up Stock,F,42,31,
001-6393 Revolution XP Accessory Rack,,F,11462 X2 Front Leg Ext Bushing,2023,In Production,F,42,34,5
001-6393 Revolution XP Accessory Rack,,F,001-7538 BAR HOOK KIT,2023,,F,42,39,
001-7476 Revolution Accessory Rack,In Production,F,10083 Cap  End 1-3 4x 2,2078,In Production,F,90,1074,
001-7476 Revolution Accessory Rack,In Production,F,000-3890 Decal  B220 XS Plate,2078,EOL - Use Up Stock,F,90,31,
001-7476 Revolution Accessory Rack,In Production,F,000-4004 Revo PVC Foot Cap,2078,,F,90,226,15
001-7476 Revolution Accessory Rack,In Production,F,001-7460 Manual  Owners bag-flex Holder,2078,,F,42,212,
001-7476 Revolution Accessory Rack,In Production,F,001-7538 BAR HOOK KIT,2078,,F,90,39,
001-7476 Revolution Accessory Rack,In Production,F,001-7475 Hardware Card  Revolution Rack,2078,,F,90,13,
"400000 Kit, Ppro 210#",,F,51322 Ppro Main Pulley Frame Assy,5580,In Production,F,3650,3,10
"400000 Kit, Ppro 210#",,F,95302 Mult - Pivot Bracket,5580,,F,3650,3,
"400000 Kit, Ppro 210#",,F,95202 Mult-Reinforced Rear Bench Leg,5580,,F,3650,4,
"400000 Kit, Ppro 210#",,F,10372 Ppro Warranty Bench w Frame,5580,In Production,F,3650,3,
"400000 Kit, Ppro 210#",,F,51220 Ppro Incln Sprt Brkt Upg Assy,5580,,F,3650,3822,
"400000 Kit, Ppro 210#",,F,"50304 ROLLER FOAM  L=175MM 7""",5580,In Production,F,3650,294,300
"400000 Kit, Ppro 210#",,F,98202 Mult-Incln Bench Plstc Bumper,5580,,F,3650,54,
"400000 Kit, Ppro 210#",,F,90270 Brkt Main Frame P-Pro,5580,,F,3650,19,5
"400000 Kit, Ppro 210#",,F,20205 Pro 1x14-20Ga Round End Cap,5580,,F,3650,35,
"400000 Kit, Ppro 210#",,F,"90185 Cap, 1 1/2 14GA. Black End",5580,,F,3650,80,
"400000 Kit, Ppro 210#",,F,90275 Cable  59,5580,In Production,F,3650,162,150
"400000 Kit, Ppro 210#",,F,98108 Mult - Lat Parts Bag,5580,,F,3650,79,
"400000 Kit, Ppro 210#",,F,"98200 BUMPER, PLASTIC",5580,In Production,F,3650,33,
"400000 Kit, Ppro 210#",,F,80179 Mult - Seat Hinge,5580,,F,3650,118,
"400000 Kit, Ppro 210#",,F,90177 Pulley  Generic,5580,In Production,F,3650,139,500
"400000 Kit, Ppro 210#",,F,90267 Mult - Leg Parts Bag,5580,,F,3650,7,
"400000 Kit, Ppro 210#",,F,95340 Mult - T-Foot End Cap,5580,,F,3650,123,
"400000 Kit, Ppro 210#",,F,95330 Plate  Squat,5580,,F,3650,1,
"400000 Kit, Ppro 210#",,F,17315 Ppro Bench Beefup Hinge Brkt,5580,,F,3650,35,
"400000 Kit, Ppro 210#",,F,90160 Mult - Bench Cup w Screw,5580,,F,3650,7,
"400000 Kit, Ppro 210#",,F,90217 Belt  Leg Press,5580,,F,3650,66,
"400000 Kit, Ppro 210#",,F,95038 Power Pro Part Bag,5580,,F,3650,51,15
"400000 Kit, Ppro 210#",,F,11852 Cable  Rod Warranty Kit  Pr,5580,In Production,F,3650,1247,400
"400000 Kit, Ppro 210#",,F,17100 Handgrip  Adj (Pair),5580,In Production,F,3650,2064,800
"400000 Kit, Ppro 210#",,F,12260 Ppro L R Clamp Repair Kit,5580,In Production,F,3650,48,
"400000 Kit, Ppro 210#",,F,51307 Ppro Bench Frm  Non Lat Units,5580,,F,3650,9,
"400000 Kit, Ppro 210#",,F,12340 Ppro Seat Bracket Wrnty Assy,5580,,F,3650,336,600
"400000 Kit, Ppro 210#",,F,51210 Ppro Seat Stop Brkt Upg Assy,5580,,F,3650,798,
"400000 Kit, Ppro 210#",,F,51319 Ppro Pulley Frame Platform,5580,In Production,F,3650,6,
"400000 Kit, Ppro 210#",,F,90183 Mult - 3 Rubber End Cap,5580,,F,3650,46,
"400000 Kit, Ppro 210#",,F,90211 Mult - Transport Wheel Assy,5580,In Production,F,3650,386,
"400000 Kit, Ppro 210#",,F,90220 Mult - Rod Hook,5580,In Production,F,3650,122,
"400000 Kit, Ppro 210#",,F,90620 Mult - 6 Black Extension Strap,5580,,F,3650,33,
"400000 Kit, Ppro 210#",,F,90630 Mult-10 to 30 Adj Ext Strap,5580,,F,3650,9,
"400000 Kit, Ppro 210#",,F,95112 Ppro Rear Leg Padding,5580,,F,3650,29,
"400000 Kit, Ppro 210#",,F,90641 Mult - Foot Harness,5580,In Production,F,3650,,
