Actual Ship/Receipt Date,FG Item,FG Item Internal ID,Inactive
11/27/2013,160000 BFX Revolution,44790,F
8/9/2013,100238 SCH 250 Recumbent Bike,38720,F
8/9/2013,100238 SCH 250 Recumbent Bike,38719,F
4/24/2013,100300 BFX SelectTech Stand,47683,F
4/24/2013,93067 LUBE N WALK TREAD LUBE KIT,47685,F
4/24/2013,93067 LUBE N WALK TREAD LUBE KIT,47681,F
4/24/2013,93067 LUBE N WALK TREAD LUBE KIT,47686,F
4/23/2013,003-5531 BFX Women's Tank Red - L,47661,F
4/23/2013,003-5517 BFX Wm's Clrblock Tee Bk Wh -M,47661,F
4/23/2013,93067 LUBE N WALK TREAD LUBE KIT,47648,F
4/23/2013,100314 PEAK FIT SYSTEM KIT,47653,F
4/23/2013,93067 LUBE N WALK TREAD LUBE KIT,47635,F
4/23/2013,93067 LUBE N WALK TREAD LUBE KIT,47637,F
4/22/2013,8001759 BOWFLEX UPPERCUT WORKOUTS DVD,47626,F
2/3/2013,004-5562 Ankle Weights,46816,F
2/3/2013,3940015 BFX 7 Series Treadmill,46815,F
2/3/2013,710000 BFX 1090 Dumbbell Kit,46817,F
2/3/2013,140003 BFX 3.1 SelectTech Bench SinglePack,46817,F
2/3/2013,100131 BFX 552 Dumbbell Kit,46813,F
2/3/2013,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,46814,F
2/2/2013,93067 LUBE N WALK TREAD LUBE KIT,46785,F
2/2/2013,100237 SCH 150 Upright Bike,46783,F
2/2/2013,100181 NLS T516 Treadmill,46793,F
2/2/2013,100238 SCH 250 Recumbent Bike,46796,F
2/2/2013,003-4182 Bowflex Towel,46795,F
2/2/2013,003-5500 BFX Men's Clrblock T Rd Bl -XL,46795,T
2/2/2013,002-4629 NLS Push Up Bars,46795,T
2/2/2013,003-5496 BFX Men's Clrblock T B W - XL,46795,F
2/2/2013,003-5511 Bowflex Men's Shorts Black - S,46795,F
2/2/2013,100339 BOWFLEX UPPERCUT KIT,46781,F
2/2/2013,003-9067 UNI UB100 Bench,46776,F
2/2/2013,004-5550 Resistance Bands - medium,46789,F
2/2/2013,100248 Core Body Reformer Sales Kit,46789,T
2/2/2013,100300 BFX SelectTech Stand,46778,F
2/2/2013,100251 SCH 520 Reclined Elliptical,46794,F
2/2/2013,000-0271 Kneed-It Pain Knee Support,46790,F
2/2/2013,100167 NLS U514 Upright Bike,46812,F
2/2/2013,100250 SCH AD6 Bike,46780,F
2/2/2013,100238 SCH 250 Recumbent Bike,46792,F
2/2/2013,001-3381 Preacher Curl Attach  Xtr X2,46791,F
2/2/2013,100198 BFX TC10,46798,F
2/1/2013,100235 SCH 220 Recumbent Bike,46744,F
2/1/2013,004-5545 Bowflex Ab Ball,46747,F
2/1/2013,100339 BOWFLEX UPPERCUT KIT,46747,F
2/1/2013,140004 BFX 5.1 SelectTech Bench SinglePack,46747,F
2/1/2013,002-4629 NLS Push Up Bars,46746,T
2/1/2013,98315 SCH MAT W/LOGO 3'X4',46746,F
2/1/2013,004-0617 SPRI Power Wheel,46746,F
2/1/2013,11970 Hot Cold Shoulder Wrap S M,46760,F
2/1/2013,004-5567 Neoprene Waist Trimmer - S MD,46758,F
2/1/2013,004-5564 Women's Weighted Vest,46758,F
2/1/2013,000-0271 Kneed-It Pain Knee Support,46755,F
2/1/2013,10293 TRC Machine Mat,46755,F
2/1/2013,100198 BFX TC10,46755,F
2/1/2013,98316 SCH MAT W/LOGO 3'X6.5',46754,F
2/1/2013,100172 NLS R514 Recumbent Bike,46754,F
2/1/2013,100199 BFX TC20,46759,F
2/1/2013,10293 TRC Machine Mat,46759,F
2/1/2013,10293 TRC Machine Mat,46773,F
2/1/2013,10293 TRC Machine Mat,46749,F
2/1/2013,100215 BFX TC5,46749,F
2/1/2013,004-4521 NLS Logo Socks - Mens,46745,T
2/1/2013,95146 BFX 310# Rod Upgrade,46745,F
2/1/2013,002-4629 NLS Push Up Bars,46745,T
2/1/2013,100251 SCH 520 Reclined Elliptical,46769,F
2/1/2013,11969 Hot Cold Shoulder Wrap L XL,46751,F
2/1/2013,001-3381 Preacher Curl Attach  Xtr X2,46751,F
2/1/2013,100251 SCH 520 Reclined Elliptical,46751,F
2/1/2013,10071 Rod Pack  410# upgrade,46775,F
2/1/2013,001-3649 BFX Rod Rjuvnatr w mini 410 add-on,46775,F
2/1/2013,100248 Core Body Reformer Sales Kit,46748,T
2/1/2013,3940015 BFX 7 Series Treadmill,46756,F
2/1/2013,100235 SCH 220 Recumbent Bike,46753,F
2/1/2013,100198 BFX TC10,46771,F
1/31/2013,93067 LUBE N WALK TREAD LUBE KIT,46725,F
1/31/2013,100198 BFX TC10,46725,F
1/31/2013,10293 TRC Machine Mat,46725,F
1/31/2013,12838 BFX Body Building DVD,46720,F
1/31/2013,10293 TRC Machine Mat,46732,F
1/31/2013,100199 BFX TC20,46732,F
1/31/2013,93067 LUBE N WALK TREAD LUBE KIT,46732,F
1/31/2013,10293 TRC Machine Mat,46726,F
1/31/2013,93067 LUBE N WALK TREAD LUBE KIT,46726,F
1/31/2013,100199 BFX TC20,46726,F
1/31/2013,10293 TRC Machine Mat,46735,F
