Internal ID,AdID PI,PI Purchased (Item PI),Market Channel,Ad ID,Media Agency,Origin,Order Week Monday,Order Date,Item,Kits,Value (Product + Shipping)
44282783,Bowflex Brand,Bowflex HVT,Online Search,CAM49688 SAWDOSBI,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/12/2017,100551 Bowflex HVT,1,1799.00
44282783,Bowflex Brand,Bowflex HVT,Online Search,CAM49688 SAWDOSBI,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/12/2017,IHA-100551 Bowflex HVT Assembly,0,249.00
44282783,Bowflex Brand,Bowflex HVT,Online Search,CAM49688 SAWDOSBI,TouchPoint Integrated Communications,Call Center Internal,6/12/2017,6/12/2017,100551-PS5 HVT Protection Plan - 5 years (90 days),0,179.00
44683541,Bowflex Home Gyms,Bowflex HVT,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,5/29/2017,6/1/2017,100551 Bowflex HVT,1,1799.00
44683541,Bowflex Home Gyms,Bowflex HVT,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,5/29/2017,6/1/2017,100551-PS3 HVT Protection Plan - 3 Years (90 days),0,139.00
44728794,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,TouchPoint Integrated Communications,Third Party Call Center - Evolve,5/29/2017,5/30/2017,100359 BFX MAX TRAINER M5,1,1449.00
44728794,Bowflex Max Trainer,Treadclimber,Online Search,CAM44230 SAWDOSG2E,TouchPoint Integrated Communications,Third Party Call Center - Evolve,5/29/2017,5/30/2017,10293 TRC Machine Mat,0,.00
44728794,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM44230 SAWDOSG2E,TouchPoint Integrated Communications,Third Party Call Center - Evolve,5/29/2017,5/30/2017,IHA-100359 MAX TRAINER M5 Assembly,0,169.00
44730597,Bowflex Max Trainer,Treadclimber,Online Display,CAM45910 DODADCEDL3,TouchPoint Integrated Communications,Web,5/29/2017,5/30/2017,10293 TRC Machine Mat,0,.00
44730597,Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM45910 DODADCEDL3,TouchPoint Integrated Communications,Web,5/29/2017,5/30/2017,100469 BFX Max Trainer M7,1,1999.00
44730597,Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM45910 DODADCEDL3,TouchPoint Integrated Communications,Web,5/29/2017,5/30/2017,IHA-100469 BOWFLEX MAX TRAINER M7 ASSEMBLY,0,169.00
44730698,Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM49580 DODTABOOLAEDL2,TouchPoint Integrated Communications,Web,5/29/2017,5/30/2017,100359 BFX MAX TRAINER M5,1,1749.00
44730797,Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,5/29/2017,5/30/2017,100405 BFX SELECTTECH 560 DUMBBELL KIT,1,355.40
44730797,Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31081 dosg2gl1,TouchPoint Integrated Communications,Web,5/29/2017,5/30/2017,100340 BFX 4.1 Bench,0,139.30
