Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,3,Online Search,Web
Bowflex Max Trainer,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Search,Web
Bowflex UpperCut,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Search,Web
Treadclimber,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Search,Web
Bowflex HVT,CAM50811 DOSBIHSL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,5,Online Search,Web
Bowflex HVT,CAM50812 DOSG2HSL2,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Search,Web
Results Treadmill,CAM50814 DODG2BXTDL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Display,Web
Bowflex Home Gyms,CAM50816 DOFG2BXTFEED1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Shopping,Web
Results Treadmill,CAM50816 DOFG2BXTFEED1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Shopping,Web
Results Treadmill,CAM50818 DOSG2BXTSL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,3,Online Search,Web
Results Treadmill,CAM50819 DOSBIBXTSL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Search,Call Center Internal
Bowflex HVT,CAM50960 DSEHSF17C,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,4,Electronic - Short Form,Web
Bowflex Max Trainer,CAM51286 DODAMBHDL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Display,Web
Bowflex Selecttech Dumbbells,CAM51412 DODTABOOLAGDL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Display,Call Center Internal
Bowflex Home Gyms,CAM51412 DODTABOOLAGDL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Display,Web
Bowflex Max Trainer,CAM51412 DODTABOOLAGDL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Display,Web
Bowflex Max Trainer,CAM51580 BBCAN60*M350STIC,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Short Form,Call Center Internal
Treadclimber,CAM52067 DEDIKE2017Q4,Internal,,10/31/2017,10/30/2017,1,Digital - Info Kit,Web
Bowflex Max Trainer,CAM52178 BRNGN60*M450STIC,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,3,Short Form,Call Center Internal
Treadclimber,CAM52178 BRNGN60*M450STIC,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,2,Short Form,Call Center Internal
Bowflex Max Trainer,CAM52185 FOXNN60*M450STIC,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,4,Short Form,Call Center Internal
Treadclimber,CAM52185 FOXNN60*M450STIC,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,3,Short Form,Call Center Internal
Treadclimber,CAM52188 IFC*N60*M450STIC,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM52193 LAFFN60*M450STIC,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,2,Short Form,Call Center Internal
Results Treadmill,CAM52193 LAFFN60*M450STIC,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Short Form,Call Center Internal
Bowflex Max Trainer,CAM52306 DODG2HMULTIPIDL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Display,Web
Bowflex HVT,CAM52310 DODVARICKHDL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Display,Web
Bowflex Max Trainer,CAM52310 DODVARICKHDL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Display,Web
Treadclimber,CAM52310 DODVARICKHDL1,TouchPoint Integrated Communications,,10/31/2017,10/30/2017,1,Online Display,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,11/1/2017,10/30/2017,2,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,11/1/2017,10/30/2017,2,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM34645 dodg2gdl2,TouchPoint Integrated Communications,,11/1/2017,10/30/2017,1,Online Display,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,11/1/2017,10/30/2017,1,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,11/1/2017,10/30/2017,1,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,11/1/2017,10/30/2017,1,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,11/1/2017,10/30/2017,1,Online Shopping,Web
Bowflex Max Trainer,CAM48985 DOSBIESL10,TouchPoint Integrated Communications,,11/1/2017,10/30/2017,1,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,11/1/2017,10/30/2017,1,Online Display,Web
