Internal ID;fileid;foldername;parentfolder;filename;folderid;parentid
269;;Celigo;;;269;
270;;Integrator;Celigo;;270;269
271;;Configuration;Integrator;;271;270
272;;Flows;Configuration;;272;271
273;;Disabled;Flows;;273;272
274;;Backup;Flows;;274;272
275;;Global;Configuration;;275;271
276;;Connections;Global;;276;275
277;2086035;Mappings;Global;0Jrlo0eGr8BP33Fb.txt;277;275
277;2123520;Mappings;Global;4HaR3otgUiEbAOXt.txt;277;275
277;2056010;Mappings;Global;7L5Y4P24GPA4H4x4.txt;277;275
277;2065564;Mappings;Global;8cQxfB2CQMVqPLl9.txt;277;275
277;3308861;Mappings;Global;CHk9kwHspjLCHWnk.txt;277;275
277;2086033;Mappings;Global;E1F9yKQR1GwyiAI9.txt;277;275
277;2066077;Mappings;Global;EePx2Fu6OItIt99l.txt;277;275
277;2123522;Mappings;Global;GqkivusXRQ920uQZ.txt;277;275
277;2123530;Mappings;Global;IEDPa2LE8MASh4wd.txt;277;275
277;2066292;Mappings;Global;OpVizzvddfwPoiDH.txt;277;275
277;2123524;Mappings;Global;dItD1uOFXuNfzOhB.txt;277;275
277;2123532;Mappings;Global;e2cwWT6hAB7c317j.txt;277;275
277;1879511;Mappings;Global;tOSlUMetAqjol6Fe.txt;277;275
277;2056008;Mappings;Global;y0VRf3qJPtLKcQWR.txt;277;275
278;2123523;Message Schemas;Global;IAEzjRvWP9qJoUXD_DNCS_4124565_Landline Scrub-2016-02-10T11-18-16.csv;278;275
278;2066079;Message Schemas;Global;btqbr1t3zsPskS55_comp_4117546_Landline Scrub-2016-02-03T11-24-31.csv;278;275
278;2086031;Message Schemas;Global;siAuhlNhWJMT2dd8_EBR_405967_Phone Scrub-2016-02-05.csv;278;275
278;2056006;Message Schemas;Global;zYAUXqsjyDhQKv9u_DNCS_4112349_Landline Scrub-2016-01-29T09-26-31.csv;278;275
279;2187;Resources;Celigo;Celigo.lib.timezone.OlsonTimeZoneData.js;279;269
280;6162252;Backup;Configuration;Flow-Export-140-20170717T151609542Z.txt;280;271
280;6832506;Backup;Configuration;Flow-Export-140-20171010T183138921Z.txt;280;271
280;7017411;Backup;Configuration;Flow-Export-140-20171101T172955406Z.txt;280;271
280;7108960;Backup;Configuration;Flow-Export-140-20171112T160756218Z.txt;280;271
280;7134996;Backup;Configuration;Flow-Export-148-20171115T003921346Z.txt;280;271
280;4026635;Backup;Configuration;Flow-Export-164-20161123T003634334Z.txt;280;271
280;4026836;Backup;Configuration;Flow-Export-165-20161123T003947869Z.txt;280;271
280;4473442;Backup;Configuration;Flow-Export-173-20170105T001440705Z.txt;280;271
280;4538777;Backup;Configuration;Flow-Export-173-20170111T162812815Z.txt;280;271
280;4596985;Backup;Configuration;Flow-Export-173-20170117T184932873Z.txt;280;271
280;4598428;Backup;Configuration;Flow-Export-173-20170117T215226117Z.txt;280;271
280;4619861;Backup;Configuration;Flow-Export-173-20170119T051246458Z.txt;280;271
280;4813097;Backup;Configuration;Flow-Export-173-20170208T170901216Z.txt;280;271
280;4940617;Backup;Configuration;Flow-Export-173-20170223T173425571Z.txt;280;271
280;5354761;Backup;Configuration;Flow-Export-173-20170412T164107763Z.txt;280;271
280;5999271;Backup;Configuration;Flow-Export-173-20170628T224058513Z.txt;280;271
280;6054274;Backup;Configuration;Flow-Export-173-20170705T170056880Z.txt;280;271
280;5999476;Backup;Configuration;Flow-Export-174-20170628T232716612Z.txt;280;271
280;4037551;Backup;Configuration;Flow-Import-182-20161123T205048185Z.txt;280;271
280;4037552;Backup;Configuration;Mapping-0Jrlo0eGr8BP33Fb-20161123T205048430Z.txt;280;271
281;;Flows;Backup;;281;280
282;;UI_V1_Flows;Flows;;282;281
283;;Mappings;Backup;;283;280
284;;UI_V1_Mappings;Mappings;;284;283
370;;Demo Out with Celigo by Khanh;Integrator;;370;270
371;;Demo Outbound Flow;Demo Out with Celigo by Khanh;;371;370
372;;Outbound;Demo Outbound Flow;;372;371
405;;Christine;Integrator;;405;270
406;;Leadsource;Christine;;406;405
407;;Backup;Leadsource;;407;406
4960;;Inquiry MLR;Christine;;4960;405
4961;;Backup;Inquiry MLR;;4961;4960
4962;;DM Inquiry MLR;Christine;;4962;405
4963;;Backup;DM Inquiry MLR;;4963;4962
6270;;Mktg - Inquiry MLR;Christine;;6270;405
6271;37733;Backup;Mktg - Inquiry MLR;InquiryMLR 2014-06-27.txt;6271;6270
6271;89683;Backup;Mktg - Inquiry MLR;InquiryMLR 2014-07-29.txt;6271;6270
6271;641891;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-01-26.txt;6271;6270
6271;757278;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-03-11.txt;6271;6270
6271;1035518;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:14:43 GMT-0700 (PDT).txt;6271;6270
6271;1035519;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:15:31 GMT-0700 (PDT).txt;6271;6270
6271;1035918;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:20:11 GMT-0700 (PDT).txt;6271;6270
6271;1036018;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:21:09 GMT-0700 (PDT).txt;6271;6270
6271;1036118;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:22:05 GMT-0700 (PDT).txt;6271;6270
6271;1036318;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:23:08 GMT-0700 (PDT).txt;6271;6270
6271;1036319;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:24:13 GMT-0700 (PDT).txt;6271;6270
6271;1036718;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:25:21 GMT-0700 (PDT).txt;6271;6270
6271;1037018;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:26:31 GMT-0700 (PDT).txt;6271;6270
6271;1037118;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:27:44 GMT-0700 (PDT).txt;6271;6270
6271;1036219;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:29:04 GMT-0700 (PDT).txt;6271;6270
6271;1036220;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:30:16 GMT-0700 (PDT).txt;6271;6270
6271;1037419;Backup;Mktg - Inquiry MLR;InquiryMLR 2015-07-02-Thu Jul 02 2015 16:35:27 GMT-0700 (PDT).txt;6271;6270
