US Electronic Short Form Sales & Rev
NAUT8009528621201601130000EREV00300700000053507608CUS-20618658               CAM36605 SAWSF12A
NAUT8009528621201601310000EREV00315500000060652872CUS-12176929               CAM36608 dsetsf12a
NAUT8009528621201601310000ESAL00000100000060652872CUS-12176929               CAM36608 dsetsf12a
NAUT8002439827201601310000EREV00012200000045039724CUS-20658018               CAM44215 SAWDSEESF14A
NAUT8002439827201601310000ESAL00000100000045039724CUS-20658018               CAM44215 SAWDSEESF14A
NAUT8002439827201601310000EREV00007000000068128402CUS-20485633               CAM44215 SAWDSEESF14A
NAUT8002439827201601310000ESAL00000100000068128402CUS-20485633               CAM44215 SAWDSEESF14A
NAUT8006566904201601310000EREV00170600000027358540CUS-20683006               CAM45798 DSEESF14H
NAUT8006566904201601310000ESAL00000100000027358540CUS-20683006               CAM45798 DSEESF14H
NAUT8006566904201601310000EREV00154200000080538970CUS-1696711               CAM45798 DSEESF14H
NAUT8006566904201601310000ESAL00000100000080538970CUS-1696711               CAM45798 DSEESF14H
NAUT8005361847201601310000EREV00161100000027278919CUS-4654334               CAM44191 dseesf14d
NAUT8005361847201601310000ESAL00000100000027278919CUS-4654334               CAM44191 dseesf14d
NAUT8002439827201601310000EREV00172600000012972518CUS-20683244               CAM44172 dseesf14a
NAUT8002439827201601310000ESAL00000100000012972518CUS-20683244               CAM44172 dseesf14a
NAUT8003310360201601310000EREV00248800000054494715CUS-20678322               CAM45800 DSEESF14J
NAUT8003310360201601310000ESAL00000100000054494715CUS-20678322               CAM45800 DSEESF14J
NAUT8009528621201601310000EREV00211800000033782727CUS-8273856               CAM36608 dsetsf12a
NAUT8009528621201601310000ESAL00000100000033782727CUS-8273856               CAM36608 dsetsf12a
NAUT8002439827201601310000EREV00161900000092203760CUS-20683899               CAM44172 dseesf14a
NAUT8002439827201601310000ESAL00000100000092203760CUS-20683899               CAM44172 dseesf14a
NAUT8002439827201601310000EREV00118000000055372952CUS-20683852               CAM44172 dseesf14a
NAUT8002439827201601310000ESAL00000100000055372952CUS-20683852               CAM44172 dseesf14a
NAUT8004368368201601310000EREV00209800000021771443CUS-20683934               CAM16426 DSETDIR
NAUT8004368368201601310000ESAL00000100000021771443CUS-20683934               CAM16426 DSETDIR
NAUT8006566904201601310000EREV00117600000031775229CUS-7325763               CAM45798 DSEESF14H
NAUT8006566904201601310000ESAL00000100000031775229CUS-7325763               CAM45798 DSEESF14H
NAUT8003310360201601310000EREV00235300000080923719CUS-20684203               CAM45800 DSEESF14J
NAUT8003310360201601310000ESAL00000100000080923719CUS-20684203               CAM45800 DSEESF14J
NAUT8002439827201601310000EREV00111600000006098860CUS-3179489               CAM44172 dseesf14a
NAUT8002439827201601310000ESAL00000100000006098860CUS-3179489               CAM44172 dseesf14a
NAUT8003310360201601310000EREV00160800000043302740CUS-20684192               CAM45800 DSEESF14J
NAUT8003310360201601310000ESAL00000100000043302740CUS-20684192               CAM45800 DSEESF14J
NAUT8007075879201601310000EREV00221200000044256330CUS-4900928               CAM36104 SAWSF11E
NAUT8007075879201601310000ESAL00000100000044256330CUS-4900928               CAM36104 SAWSF11E
