SO-72147437,100359,Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM50719 ICAODG2EDL1,TouchPoint Integrated Communications,Call Center Internal,10/30/2017,11/1/2017,1,1386.75
SO-72147437,100359-PS5,Bowflex Max Trainer,Bowflex Max Trainer,Online Display,CAM50719 ICAODG2EDL1,TouchPoint Integrated Communications,Call Center Internal,10/30/2017,11/1/2017,0,149.25
SO-72147497,001-3649,Bowflex Home Gyms,Bowflex Home Gyms,Un-Sourced,CAM40821 1800BOWFLEX,Internal,Call Center Internal,10/30/2017,11/1/2017,0,23.42
SO-72147540,100131,Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,10/30/2017,11/1/2017,1,299.25
SO-72147571,100469,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,10/30/2017,11/1/2017,1,1911.75
SO-72147571,100469-PS3,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,10/30/2017,11/1/2017,0,119.25
SO-72147571,10293,Bowflex Brand,Treadclimber,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,10/30/2017,11/1/2017,0,.00
SO-72147571,IHA-100469,Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,10/30/2017,11/1/2017,0,119.25
SO-72147614,100359,Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,10/30/2017,11/1/2017,1,1386.75
SO-72147636,100300,Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,10/30/2017,11/1/2017,0,126.75
SO-72147636,100131,Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Shopping,CAM45439 ICAOFG2DFEED1,TouchPoint Integrated Communications,Web,10/30/2017,11/1/2017,1,299.25
SO-72147685,100131,Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Social,CAM48231 ICAOXFBDSCODE002,Social Code,Web,10/30/2017,11/1/2017,1,299.25
SO-72147717,100334,Bowflex Home Gyms,Bowflex Home Gyms,Online Social,CAM48236 ICAOXFBGSCODE002,Social Code,Web,10/30/2017,11/2/2017,1,1236.75
SO-72147717,95146,Bowflex Home Gyms,Bowflex Home Gyms,Online Social,CAM48236 ICAOXFBGSCODE002,Social Code,Web,10/30/2017,11/2/2017,0,.00
SO-72147717,000-7262,Bowflex Home Gyms,Bowflex Home Gyms,Online Social,CAM48236 ICAOXFBGSCODE002,Social Code,Web,10/30/2017,11/2/2017,0,74.25
SO-72147751,100131,Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,Web,10/30/2017,11/2/2017,1,299.25
SO-72147751,100300,Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM40992 icaosbcgl1,TouchPoint Integrated Communications,Web,10/30/2017,11/2/2017,0,126.75
SO-72147784,100358,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,TouchPoint Integrated Communications,Web,10/30/2017,11/2/2017,1,1024.25
SO-72147861,100358,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,TouchPoint Integrated Communications,Call Center Internal,10/30/2017,11/2/2017,1,1024.25
SO-72147861,IHA-100358,Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,TouchPoint Integrated Communications,Call Center Internal,10/30/2017,11/2/2017,0,119.25
SO-72147876,100131,Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,TouchPoint Integrated Communications,Web,10/30/2017,11/2/2017,1,299.25
SO-72147877,10293,Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,10/30/2017,11/2/2017,0,94.24
SO-72147900,95146,Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Internal,Web,10/30/2017,11/2/2017,0,94.24
SO-72147902,100359,Bowflex Home Gyms,Bowflex Max Trainer,Online Shopping,CAM45438 ICAOFG2GFEED1,TouchPoint Integrated Communications,Web,10/30/2017,11/2/2017,1,1386.75
SO-72147928,100359,Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,10/30/2017,11/2/2017,1,1386.75
SO-72147928,10293,Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Internal,Call Center Internal,10/30/2017,11/2/2017,0,74.25
