AdID Product Interest,PI Purchased (Item PI),Market Channel,Ad ID,Origin,Order Week Monday,Order Date,# of Kits,Value (Product + Shipping)
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - Short Form,CAM45694 ICASESF14B,Web,10/31/2016,11/1/2016,1,2308.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,10/31/2016,11/1/2016,1,2099.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,10/31/2016,11/1/2016,1,2599.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,10/31/2016,11/1/2016,0,99.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/1/2016,1,1899.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/1/2016,1,807.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/1/2016,2,4198.00
Treadclimber,Treadclimber,Online Search,CAM2578 icaosgctsl1_TRC,Call Center Internal,10/31/2016,11/1/2016,1,2113.99
Treadclimber,Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,10/31/2016,11/1/2016,2,5346.99
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/1/2016,1,1899.00
Treadclimber,Bowflex Max Trainer,Online Search,CAM37661 icaosgctsl5,Web,10/31/2016,11/1/2016,1,2058.00
Treadclimber,Treadclimber,Online Search,CAM37661 icaosgctsl5,Web,10/31/2016,11/1/2016,0,99.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,10/31/2016,11/1/2016,1,2058.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,10/31/2016,11/1/2016,1,1899.00
Bowflex Revolution,Bowflex Home Gyms,Un-Sourced,CAM40829 1800REVOLUTION,Call Center Internal,10/31/2016,11/1/2016,0,99.97
Bowflex Revolution,Bowflex Revolution,Un-Sourced,CAM40829 1800REVOLUTION,Call Center Internal,10/31/2016,11/1/2016,1,3298.00
Bowflex Brand,- None -,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,10/31/2016,11/2/2016,0,189.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,10/31/2016,11/2/2016,1,2058.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,10/31/2016,11/2/2016,0,99.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/2/2016,4,6296.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/2/2016,1,2117.98
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,10/31/2016,11/2/2016,0,118.99
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45692 SAWICAOFG2E,Call Center Internal,10/31/2016,11/2/2016,1,1899.00
Treadclimber,Bowflex Max Trainer,Online Search,CAM30841 icaosgctsl2,Web,10/31/2016,11/2/2016,1,2058.00
Treadclimber,Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,10/31/2016,11/2/2016,2,4216.98
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM30851 icaosgcwsl6,Web,10/31/2016,11/2/2016,0,308.97
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/2/2016,1,1549.00
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/2/2016,3,6556.00
Bowflex Brand,Treadclimber,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/2/2016,0,99.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM37662 icaosgcwsl23,Web,10/31/2016,11/2/2016,0,118.99
Bowflex Max Trainer,Bowflex Home Gyms,Online Search,CAM45624 ICAOSGCESL2,Web,10/31/2016,11/2/2016,0,29.95
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,10/31/2016,11/2/2016,5,10563.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45624 ICAOSGCESL2,Web,10/31/2016,11/2/2016,0,99.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM47283 ICAOSGCDSL12,Web,10/31/2016,11/2/2016,1,528.99
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,10/31/2016,11/2/2016,1,1899.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Social,CAM47172 DOXFBEGL1,Call Center Internal,10/31/2016,11/2/2016,1,1899.00
Bowflex Home Gyms,Treadclimber,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,10/31/2016,11/2/2016,1,2362.99
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,10/31/2016,11/2/2016,2,3798.00
Bowflex Max Trainer,Bowflex Max Trainer,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Call Center Internal,10/31/2016,11/3/2016,1,1899.00
Bowflex Max Trainer,Treadclimber,Electronic - UnSourced,CAM44626 1800BOWFLEX_BMT,Call Center Internal,10/31/2016,11/3/2016,0,99.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,10/31/2016,11/3/2016,1,1249.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,10/31/2016,11/3/2016,1,1017.99
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/3/2016,1,2949.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/3/2016,1,449.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/3/2016,0,18.98
Bowflex Brand,Treadclimber,Online Search,CAM30891 SAWICAOSGCW,Call Center Internal,10/31/2016,11/3/2016,1,2099.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45692 SAWICAOFG2E,Call Center Internal,10/31/2016,11/3/2016,1,1899.00
Treadclimber,Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,10/31/2016,11/3/2016,1,2099.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/3/2016,0,308.97
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/3/2016,1,2599.00
Bowflex Brand,Treadclimber,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/3/2016,0,18.98
Bowflex Brand,Bowflex Revolution,Online Search,CAM37662 icaosgcwsl23,Web,10/31/2016,11/3/2016,1,3398.00
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM40992 icaosbcgl1,Web,10/31/2016,11/3/2016,1,2758.00
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,10/31/2016,11/3/2016,1,699.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,10/31/2016,11/3/2016,2,3516.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45841 ICAOSGCESL8,Web,10/31/2016,11/3/2016,1,1249.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,10/31/2016,11/3/2016,1,2599.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM49754 HERON120HUNNYTIC,Call Center Internal,10/31/2016,11/3/2016,1,2599.00
Bowflex Max Trainer,Treadclimber,Short Form,CAM49754 HERON120HUNNYTIC,Call Center Internal,10/31/2016,11/3/2016,0,99.00
Treadclimber,Treadclimber,Short Form,CAM49917 GET*N120DANYETIC,Call Center Internal,10/31/2016,11/3/2016,1,3313.99
Treadclimber,Bowflex Max Trainer,Short Form,CAM49924 ION*N60*DANYETIC,Call Center Internal,10/31/2016,11/3/2016,1,1899.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,10/31/2016,11/3/2016,1,2058.00
Treadclimber,Bowflex Home Gyms,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,10/31/2016,11/3/2016,0,.00
Treadclimber,Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,10/31/2016,11/3/2016,0,.00
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,10/31/2016,11/3/2016,2,3957.00
Bowflex Max Trainer,Treadclimber,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,10/31/2016,11/3/2016,0,99.00
Bowflex Max Trainer,Bowflex Max Trainer,Digital - Info Kit,CAM49054 ICAEDIKE2016Q1A,Web,10/31/2016,11/4/2016,1,1899.00
Treadclimber,Bowflex Max Trainer,Electronic - Short Form,CAM36605 SAWSF12A,Call Center Internal,10/31/2016,11/4/2016,1,2758.00
Treadclimber,Treadclimber,Electronic - Short Form,CAM36605 SAWSF12A,Call Center Internal,10/31/2016,11/4/2016,0,99.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,10/31/2016,11/4/2016,1,1849.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49449 BOWWEB800CA,Call Center Internal,10/31/2016,11/4/2016,0,.00
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,10/31/2016,11/4/2016,2,3307.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM49450 BOWWEB800,Call Center Internal,10/31/2016,11/4/2016,1,2099.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/4/2016,0,118.99
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/4/2016,2,4048.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/4/2016,2,1287.00
Bowflex Brand,Treadclimber,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/4/2016,1,3299.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,10/31/2016,11/4/2016,1,2599.00
Bowflex Max Trainer,Treadclimber,Online Search,CAM45690 SAWICAOSGCE,Call Center Internal,10/31/2016,11/4/2016,0,.00
Treadclimber,Treadclimber,Online Search,CAM30841 icaosgctsl2,Web,10/31/2016,11/4/2016,2,5398.00
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/4/2016,3,8306.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/4/2016,2,1676.97
Bowflex Brand,Treadclimber,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/4/2016,0,18.98
Treadclimber,Treadclimber,Online Search,CAM39467 icaosbctsl1,Web,10/31/2016,11/4/2016,1,3299.00
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM40992 icaosbcgl1,Web,10/31/2016,11/4/2016,1,1299.00
Bowflex Brand,Treadclimber,Online Search,CAM40992 icaosbcgl1,Web,10/31/2016,11/4/2016,0,118.99
Bowflex Selecttech Dumbbells,Bowflex Selecttech Dumbbells,Online Search,CAM44557 icaosgcdsl8,Web,10/31/2016,11/4/2016,1,1196.99
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,10/31/2016,11/4/2016,2,4498.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM47271 ICAOSGCESL10,Web,10/31/2016,11/4/2016,1,3108.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,10/31/2016,11/4/2016,3,4497.00
Bowflex Max Trainer,Bowflex Selecttech Dumbbells,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,10/31/2016,11/4/2016,1,918.00
Bowflex Max Trainer,Treadclimber,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,10/31/2016,11/4/2016,0,99.00
Bowflex Max Trainer,Bowflex Home Gyms,Short Form,CAM48065 ARTSN60*HAMF*TIC,Call Center Internal,10/31/2016,11/4/2016,0,54.98
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM49741 SUNDN120HUNNYTIC,Call Center Internal,10/31/2016,11/4/2016,1,1249.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM49747 JUSTN120HUNNYTIC,Call Center Internal,10/31/2016,11/4/2016,1,1899.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM49761 OWN*N120HUNNYTIC,Call Center Internal,10/31/2016,11/4/2016,1,1249.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM49840 TLN*C120HUNNYKST,Call Center Internal,10/31/2016,11/4/2016,1,2058.00
Treadclimber,Treadclimber,Short Form,CAM49968 SPOWC120DANCEKST,Call Center Internal,10/31/2016,11/4/2016,1,2113.99
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,10/31/2016,11/4/2016,1,2058.00
Bowflex Home Gyms,Bowflex Max Trainer,Un-Sourced,CAM40821 1800BOWFLEX,Call Center Internal,10/31/2016,11/4/2016,1,1899.00
Treadclimber,Treadclimber,Un-Sourced,CAM40825 1800TREADCLIMBER,Call Center Internal,10/31/2016,11/4/2016,3,6560.99
Bowflex Max Trainer,Bowflex Max Trainer,Un-Sourced,CAM45327 1800MAXTRAINER,Call Center Internal,10/31/2016,11/4/2016,1,1899.00
Bowflex Brand,Bowflex Home Gyms,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/5/2016,0,386.95
Bowflex Brand,Bowflex Max Trainer,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/5/2016,3,5147.00
Bowflex Brand,Bowflex Selecttech Dumbbells,Electronic - UnSourced,CAM29862 icawbowflexca,Web,10/31/2016,11/5/2016,0,268.99
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Call Center Internal,10/31/2016,11/5/2016,1,2599.00
Bowflex Brand,Treadclimber,Online Search,CAM31266 icaosgcgl1,Call Center Internal,10/31/2016,11/5/2016,0,50.00
Treadclimber,Bowflex Max Trainer,Online Search,CAM30841 icaosgctsl2,Web,10/31/2016,11/5/2016,1,1899.00
Bowflex Brand,Bowflex Max Trainer,Online Search,CAM31266 icaosgcgl1,Web,10/31/2016,11/5/2016,1,1249.00
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM37662 icaosgcwsl23,Web,10/31/2016,11/5/2016,0,118.99
Bowflex Brand,Bowflex Home Gyms,Online Search,CAM40992 icaosbcgl1,Web,10/31/2016,11/5/2016,1,1549.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45624 ICAOSGCESL2,Web,10/31/2016,11/5/2016,2,3957.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Search,CAM45841 ICAOSGCESL8,Web,10/31/2016,11/5/2016,1,1249.00
Bowflex Max Trainer,Bowflex Max Trainer,Online Shopping,CAM45631 ICAOFG2EFEED1,Web,10/31/2016,11/5/2016,2,3198.00
Bowflex Selecttech Dumbbells,Treadclimber,Online Social,CAM47713 DOXFBDDAD15BUNI,Call Center Internal,10/31/2016,11/5/2016,1,2362.99
Treadclimber,Bowflex Max Trainer,Short Form,CAM49480 WXYZC120CAW16KST,Call Center Internal,10/31/2016,11/5/2016,1,1899.00
Treadclimber,Bowflex Max Trainer,Short Form,CAM49917 GET*N120DANYETIC,Call Center Internal,10/31/2016,11/5/2016,1,2599.00
Bowflex Max Trainer,Bowflex Max Trainer,Short Form,CAM49949 MOVIC120HUNNYKST,Call Center Internal,10/31/2016,11/5/2016,1,1899.00
Bowflex Home Gyms,Treadclimber,Un-Sourced,CAM28157 SALESFOLLOWUP,Call Center Internal,10/31/2016,11/5/2016,1,3313.99
