US Short Form Sales & Rev
NAUT8009185197201512050000REVS00133300000033311954CUS-20509167               CAM48299 SPKEN120JACKDTIC
NAUT8008992363201512050000REVS00175700000030062470CUS-20494322               CAM48496 HMM*N120HKINGTIC
NAUT8008992363201512050000SALE00000100000030062470CUS-20494322               CAM48496 HMM*N120HKINGTIC
NAUT8005399486201512050000REVS00236900000030035512CUS-20511467               CAM48504 BABYN120HKINGTIC
NAUT8005399486201512050000SALE00000100000030035512CUS-20511467               CAM48504 BABYN120HKINGTIC
NAUT8004694581201512050000REVS00155800000043026614CUS-20511478               CAM48304 RELZN120JACKDTIC
NAUT8004694581201512050000SALE00000100000043026614CUS-20511478               CAM48304 RELZN120JACKDTIC
NAUT8007638070201512050000REVS00183800000078043956CUS-20511504               CAM47950 DISNN60*HAMF*TIC
NAUT8007638070201512050000SALE00000100000078043956CUS-20511504               CAM47950 DISNN60*HAMF*TIC
NAUT8006508911201512050000REVS00169500000083672208CUS-20511610               CAM47195 SPKEN120HAMBYTIC
NAUT8006508911201512050000SALE00000100000083672208CUS-20511610               CAM47195 SPKEN120HAMBYTIC
NAUT8008531649201512050000REVS00169500000021742301CUS-20511854               CAM48296 PALLN120JACKDTIC
NAUT8008531649201512050000SALE00000100000021742301CUS-20511854               CAM48296 PALLN120JACKDTIC
NAUT8005106032201512050000REVS00203000000056636218CUS-19280169               CAM48498 INSPN120HKINGTIC
NAUT8005106032201512050000SALE00000100000056636218CUS-19280169               CAM48498 INSPN120HKINGTIC
