US Short Form Sales & Rev
NAUT8002990515201602010000REVS00160400000033615813CUS-20685400               CAM48758 CMT*N120J14FSTIC
NAUT8005069232201602100000REVS00181700000030310404CUS-20550319               CAM48746 VEL*N120J14FSTIC
NAUT8005069232201602100000SALE00000100000030310404CUS-20550319               CAM48746 VEL*N120J14FSTIC
NAUT8008992363201602150000REVS00355700000028645828CUS-20709458               CAM48496 HMM*N120HKINGTIC
NAUT8008992363201602150000SALE00000100000028645828CUS-20709458               CAM48496 HMM*N120HKINGTIC
NAUT8008868943201602150000REVS00001000000018954215CUS-1178309               CAM47418 HMM*N120TCMOMTIC
NAUT8008868943201602150000SALE00000100000018954215CUS-1178309               CAM47418 HMM*N120TCMOMTIC
NAUT8009272229201602150000REVS00241100000027514516CUS-20709692               CAM48497 ION*N120HKINGTIC
NAUT8009272229201602150000SALE00000100000027514516CUS-20709692               CAM48497 ION*N120HKINGTIC
NAUT8003582499201602150000REVS00256700000011235917CUS-20654770               CAM48775 SUNDN180JACFSTIC
NAUT8003582499201602150000SALE00000100000011235917CUS-20654770               CAM48775 SUNDN180JACFSTIC
