ID|Product Interest|Sub-Channel|Origin|Ad ID|Market Channel|URL Group|Promotion Code Offer|Promotion Code Offer Detail|Inquiry Date|Info Kit Date
CUS-13043812|Treadclimber|Call Center|Call Center Internal|CAM36865 FOXNN120LETTXTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/28/2012|5/23/2015
CUS-6401943|Treadclimber|Call Center|Call Center Internal|CAM34310 FIT*N120TXLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/6/2011|6/1/2015
CUS-1396934|Bowflex Home Gyms|Call Center|Call Center Internal|CAM4291 SKIP_BFX|Other - Internal||BFX6WEEK|Bowflex - 6 Week Satisfaction Guarantee|1/29/2000|5/28/2015
CUS-8507185|Treadclimber|Call Center|Call Center Internal|CAM18205 001CUSTSERVTRC|Other - Internal||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|9/22/2007|5/6/2015
CUS-11632358|Treadclimber|Call Center|Call Center Internal|CAM32886 DISCN120MUL20***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|4/30/2010|5/13/2015
CUS-12120386|Treadclimber|Mobile|Shoptext|CAM30938 SHOPTEXTWALK|Other - Agency||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/15/2011|5/23/2015
CUS-2287388|Treadclimber|Web|Web|CAM36209 dosmsntsl1|Online Search|MSN|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/5/2012|6/25/2015
CUS-12503322|Treadclimber|Call Center|Call Center Internal|CAM35360 INSPS60*STWMN***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/29/2011|6/29/2015
CUS-98266|Treadclimber|Call Center|Call Center Internal|CAM10133 PAXNNINFSUMTP***|Online||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/14/2005|5/18/2015
CUS-10110611|Treadclimber|Call Center|Call Center Internal|CAM22554 PAX*N120NTSTP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/23/2008|5/13/2015
CUS-11758122|Treadclimber|Call Center|Call Center Internal|CAM33752 TNT*N120TRLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/1/2010|6/11/2015
CUS-7383187|Treadclimber|Call Center|Call Center Internal|CAM12985 LMN*N60*EZBO2***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|6/16/2005|6/2/2015
CUS-11589449|Treadclimber|Call Center|Call Center Internal|CAM32922 TVAZN120MUL20***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|4/2/2010|5/4/2015
CUS-13277165|Treadclimber|Call Center|Call Center Internal|CAM38074 HALMN120FLBOWTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/21/2012|6/4/2015
CUS-13278214|Treadclimber|Call Center|Third Party Call Center - West|CAM35564 NBA*P60*LETTXWST|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/22/2012|6/10/2015
CUS-10081930|Treadclimber|Call Center|Call Center Internal|CAM18205 001CUSTSERVTRC|Other - Internal||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/20/2008|6/2/2015
CUS-12824313|Treadclimber|Call Center|Call Center Internal|CAM36487 ddettcpc0158|Direct Mail - Promotion|Direct Mail|TRC1497||2/20/2012|5/9/2015
CUS-13286151|Treadclimber|Call Center|Third Party Call Center - West|CAM38472 ARTSN60*FLPHVTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/26/2012|5/3/2015
CUS-211752|Treadclimber|Call Center|Third Party Call Center - Triton|CAM35140 SPKEN120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/6/2011|6/4/2015
CUS-12151646|Treadclimber|Call Center|Call Center Internal|CAM34311 GOSPN120TXLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/27/2011|6/18/2015
CUS-1446921|Bowflex Home Gyms|Call Center|Call Center Internal|CAM4291 SKIP_BFX|Other - Internal||BFX6WEEK|Bowflex - 6 Week Satisfaction Guarantee|2/20/2000|5/12/2015
CUS-2299120|Treadclimber|Call Center|Call Center Internal|CAM29249 OXGNN120NTSNP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/14/2005|5/26/2015
CUS-6498679|Treadclimber|Call Center|Call Center Internal|CAM40722 CUSTSERVTRC|Other - Internal||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|9/26/2007|6/29/2015
CUS-7128173|Treadclimber|Call Center|Call Center Internal|CAM13340 DTV*N60*EZBO2ADT|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/14/2005|5/4/2015
CUS-1209138|Bowflex Catalog|Call Center|Call Center Internal|CAM27557 Bowflex Catalog|Catalog||BFC|Catalog - Default Offer (Satisfaction Guarantee)|12/30/2010|5/3/2015
CUS-12248556|Treadclimber|Call Center|Call Center Internal|CAM34484 SAWMOBILETC|Electronic - Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/19/2011|6/8/2015
CUS-11956694|Treadclimber|Call Center|Call Center Internal|CAM34256 INSPN120TRLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|11/3/2010|6/8/2015
CUS-4357964|Bowflex Home Gyms|Call Center|Third Party Call Center - Convergys|CAM4471 TLCULT_BFX|Other - Internal||BFX6WEEK|Bowflex - 6 Week Satisfaction Guarantee|8/26/2002|6/10/2015
CUS-12545964|Treadclimber|Call Center|Call Center Internal|CAM35006 dodmmtml1|Online Display|Millennial Media|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/1/2011|5/25/2015
CUS-5222353|Treadclimber|Call Center|Call Center Internal|CAM30074 BET*N120MUGTC***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/9/2009|6/25/2015
CUS-12785285|Treadclimber|Call Center|Call Center Internal|CAM35133 INSPN120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/30/2012|5/6/2015
CUS-7834228|Treadclimber|Call Center|Call Center Internal|CAM15108 TVLDN60*EZBNP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/27/2005|6/24/2015
CUS-2389767|Treadclimber|Call Center|Call Center Internal|CAM10576 FIT*N120LOSIT***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|5/15/2004|6/14/2015
CUS-11647297|Treadclimber|Call Center|Call Center Internal|CAM16426 DSETDIR|Electronic - Short Form|TV|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|5/11/2010|5/25/2015
CUS-12326354|Treadclimber|Call Center|Call Center Internal|CAM34582 HMC*N60*LETTX***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|5/2/2011|5/7/2015
CUS-1588880|Bowflex Catalog|Call Center|Call Center Internal|CAM27557 Bowflex Catalog|Catalog||BFC|Catalog - Default Offer (Satisfaction Guarantee)|9/23/2009|5/19/2015
CUS-12381545|Treadclimber|Call Center|Call Center Internal|CAM35142 CORTN120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|6/7/2011|6/30/2015
CUS-7125540|Treadclimber|Call Center|Call Center Internal|CAM12624 DTV*N60*EZBO2ENT|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/14/2005|5/25/2015
CUS-13150663|Treadclimber|Call Center|Call Center Internal|CAM37175 HALMN60*FLOOPTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/11/2012|5/14/2015
CUS-13150662|Treadclimber|Call Center|Call Center Internal|CAM37178 GAMEN120FLOOPTIC|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/11/2012|6/11/2015
CUS-13135005|Treadclimber|Call Center|Call Center Internal|CAM18205 001CUSTSERVTRC|Other - Internal||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|9/29/2012|6/19/2015
CUS-12848789|Treadclimber|Call Center|Call Center Internal|CAM35602 SLEUN120STONF***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/7/2012|6/13/2015
CUS-12263377|Treadclimber|Call Center|Call Center Internal|CAM34313 ION*N120TXLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|3/26/2011|6/17/2015
CUS-10023505|Treadclimber|Call Center|Call Center Internal|CAM26740 SPKEN120NTSTP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|2/18/2008|6/13/2015
CUS-12730739|Treadclimber|Call Center|Third Party Call Center - Triton|CAM36438 TRITONTRC|Other - Internal||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|1/6/2012|6/1/2015
CUS-12554802|Treadclimber|Call Center|Call Center Internal|CAM35774 GOSPN120SHERI***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/7/2011|6/9/2015
CUS-12509355|Treadclimber|Call Center|Call Center Internal|CAM35131 GMC*N120TSTOR***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|9/3/2011|6/13/2015
CUS-9335846|Treadclimber|Call Center|Call Center Internal|CAM22553 OXGNN120NTSTP***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/29/2007|6/13/2015
CUS-11935523|Treadclimber|Call Center|Call Center Internal|CAM6060 SAWOTVTC|Electronic - Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|10/24/2010|6/22/2015
CUS-12710264|Treadclimber|Web|Web|CAM36078 dsetsf11d|Electronic - Short Form|TV|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/30/2011|5/28/2015
CUS-11148914|Treadclimber|Call Center|Call Center Internal|CAM30108 SLEUN120MUGTC***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|7/25/2009|5/31/2015
CUS-7537362|Bowflex Home Gyms|Call Center|Call Center Internal|CAM9484 PAX*NINFCHOI2***|Online||BFX237||8/16/2005|6/7/2015
CUS-6849904|Treadclimber|Call Center|Call Center Internal|CAM12093 DTV*N60*CRDBOIA*|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|12/22/2004|6/30/2015
CUS-6971069|Treadclimber|Call Center|Call Center Internal|CAM23879 degt1sitetc|Electronic - UnSourced|Unsourced|TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/1/2010|6/9/2015
CUS-3238579|Bowflex Catalog|Call Center|Call Center Internal|CAM36112 dcbhol11|Catalog|Catalog|BFCFREESHIP|Catalog - Free Ship on entire order (OM 783)|12/2/2011|6/6/2015
CUS-10429336|Treadclimber|Call Center|Call Center Internal|CAM27667 STYLNCLFRNPCVOLF|Long Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/23/2008|6/7/2015
CUS-12000760|Treadclimber|Call Center|Call Center Internal|CAM34328 USA*N120TXLET***|Short Form||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|11/26/2010|5/8/2015
CUS-11760588|Treadclimber|Call Center|Call Center Internal|CAM31299 0701MSWRINTRC|Print||TRC6WEEK|Treadclimber - 6 Week Satisfaction Guarantee|8/2/2010|5/4/2015
