SO-71382273|1|44.99||4.99|-4.99|44.99|44.99|Call Center|005-0022|Gaiam?s Calorie Coach from Ore|Other : Catalog Sourced
SO-71382274|1|189.00||.00|.00|189.00|189.00|Call Center|SERVICE - DIAGNOSTIC/REPEAT VISIT|Technician Visit, no parts ordered|Other : Service : One Time Visit
SO-71382287|1|349.00||.00|.00|324.00|349.00|Web|100131|BFX 552 Dumbbell Kit|Strength : Selectorized : Weights
SO-71382287||.00|-25.00||||-25.00|Web|Sales Discount||
SO-71382279|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382279||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71382279|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382279||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382279|1|249.00||.00|.00|249.00|249.00|Call Center|IHA-100341|Bowflex TC10 Assembly|Other : Service : In Home Assembly
SO-71382280|1|11.99||.00|.00|11.99|11.99|Call Center|003-8942|6V 500mA Power Adaptor|Other : Parts
SO-71382281|1|999.00||100.00|.00|1099.00|999.00|Call Center|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71382282|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382282||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71382283|1|2199.00||199.99|-199.99|1999.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382283||.00|-200.00|.00|.00|.00|-200.00|Web|Sales Discount||
SO-71382283|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382283||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71382284|1|899.00||249.99|-249.99|899.00|899.00|Call Center|100392|NLS E616 ELLIPTICAL|Cardio : Ellipticals : Fixed Stride
SO-71382284|1|299.00||.00|.00|299.00|299.00|Call Center|IHA-100334|Bowflex X2SE Home Gym Assembly|Other : Service : In Home Assembly
SO-71382288|1|349.00||.00|.00|324.00|349.00|Web|100131|BFX 552 Dumbbell Kit|Strength : Selectorized : Weights
SO-71382288||.00|-25.00||||-25.00|Web|Sales Discount||
SO-71382290|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382290||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71382290|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382290||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382290|1|14.99||3.99|-3.99|14.99|14.99|Call Center|93067|LUBE N WALK TREAD LUBE KIT|Cardio : TreadClimber : Accessories
SO-71382292|1|2199.00||199.99|-199.99|1899.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382292||.00|-300.00|.00|.00|.00|-300.00|Call Center|Sales Discount||
SO-71382292|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382292||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382294|1|2199.00||199.99|.00|2398.99|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382296|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382298|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382299|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382299||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71382312|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382312||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71382347|1|1599.00||150.00|.00|1749.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382347|1|159.00||.00|.00|159.00|159.00|Web|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71382300|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382300||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71382300|1|159.00||.00|.00|159.00|159.00|Web|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71382301|1|189.00||.00|.00|.00|189.00|Call Center|SERVICE - DIAGNOSTIC/REPEAT VISIT|Technician Visit, no parts ordered|Other : Service : One Time Visit
SO-71382301||.00|-189.00||||-189.00|Call Center|Sales Discount||
SO-71382314|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382314||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71382314|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382314||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71382308|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382302|1|15.98||.00|.00|15.98|15.98|Call Center|004-8382|110VAC Adaptor - 9vdc 1.5a|Other : Parts
SO-71382307|1|1599.00||150.00|-150.00|1499.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382307||.00|-100.00|.00|.00|.00|-100.00|Web|Sales Discount||
SO-71382304|1|1599.00||150.00|-150.00|1279.20|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382304||.00|-319.80||||-319.80|Call Center|Sales Discount||
SO-71382306|1|1599.00||150.00|-150.00|1499.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71382306||.00|-100.00|.00|.00|.00|-100.00|Call Center|Sales Discount||
SO-71382306|1|159.00||.00|.00|159.00|159.00|Call Center|IHA-100359|MAX TRAINER M5 Assembly|Other : Service : In Home Assembly
SO-71382310|1|2199.00||199.99|-199.99|1874.00|2199.00|Call Center|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71382310||.00|-325.00|.00|.00|.00|-325.00|Call Center|Sales Discount||
SO-71382310|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71382310||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71382329|1|599.00||249.99|-249.99|599.00|599.00|Web|100326|SCH 430 Elliptical|Cardio : Ellipticals : Fixed Stride
