Internal ID,Name,Document Number,Line ID,Item,PO Inventory Status,Line Number,Quantity in Transaction Units,Expected Receipt Date,Departed Date
4474711,CUS-17002833 Sears Roebuck and Co - Parent : Sears Roebuck and Co (Factory),PO-13,1,100338,,1,492,,
4474814,CUS-17002833 Sears Roebuck and Co - Parent : Sears Roebuck and Co (Factory),PO-15,1,100335,,1,706,,
4475018,CUS-17000140 Amazon Parent : Amazon.com (Factory),PO-18,1,100250,,1,27,,
4475020,CUS-17000140 Amazon Parent : Amazon.com (Factory),PO-20,1,100250,,1,48,,
4475119,CUS-17000140 Amazon Parent : Amazon.com (Factory),PO-21,1,100250,,1,93,,
4475523,CUS-17000140 Amazon Parent : Amazon.com (Factory),PO-25,1,100250,,1,35,,
4476328,,PO-30,3,CARTONS_CN,,3,4,4/23/2014,
4476890,,PO-85,3,CARTONS_CN,,3,4,2/26/2014,
4476991,,PO-87,3,CARTONS_CN,,3,4,2/26/2014,
4477115,,PO-105,3,CARTONS_CN,,3,4,2/26/2014,
4477120,,PO-108,3,CARTONS_CN,,3,4,2/26/2014,
4477122,,PO-109,3,CARTONS_CN,,3,4,2/26/2014,
4477123,,PO-110,3,CARTONS_CN,,3,4,2/26/2014,
4477131,CUS-17000140 Amazon Parent : Amazon.com (Factory),PO-153,1,100243,,1,98,,
4477224,,PO-112,3,CARTONS_CN,,3,4,2/26/2014,
4477225,,PO-113,3,CARTONS_CN,,3,4,2/26/2014,
4477328,,PO-114,3,CARTONS_CN,,3,4,2/26/2014,
4477329,,PO-115,3,CARTONS_CN,,3,4,2/26/2014,
4477331,,PO-117,3,CARTONS_CN,,3,4,2/26/2014,
4477332,,PO-118,3,CARTONS_CN,,3,4,2/26/2014,
4477333,,PO-119,3,CARTONS_CN,,3,4,2/26/2014,
4477334,,PO-120,3,CARTONS_CN,,3,4,2/26/2014,
4477336,,PO-121,3,CARTONS_CN,,3,4,2/26/2014,
4477338,,PO-123,3,CARTONS_CN,,3,4,2/26/2014,
4477340,,PO-124,3,CARTONS_CN,,3,4,2/26/2014,
4477341,,PO-125,3,CARTONS_CN,,3,4,2/26/2014,
4477343,,PO-126,3,CARTONS_CN,,3,4,2/26/2014,
4477344,,PO-127,3,CARTONS_CN,,3,4,2/26/2014,
4477349,,PO-131,3,CARTONS_CN,,3,4,2/26/2014,
4477351,,PO-132,3,CARTONS_CN,,3,4,2/26/2014,
4477352,,PO-133,3,CARTONS_CN,,3,4,2/26/2014,
4477353,,PO-134,3,CARTONS_CN,,3,4,2/26/2014,
4477364,,PO-146,3,CARTONS_CN,,3,4,2/26/2014,
4477370,,PO-151,3,CARTONS_CN,,3,4,7/12/2014,
4477371,,PO-152,3,CARTONS_CN,,3,4,7/12/2014,
4477372,,PO-154,3,CARTONS_CN,,3,4,2/26/2014,
4477373,,PO-155,3,CARTONS_CN,,3,4,7/25/2014,
4477374,,PO-156,3,CARTONS_CN,,3,4,2/26/2014,
4477375,,PO-157,3,CARTONS_CN,,3,4,7/19/2014,
4477376,,PO-159,3,CARTONS_CN,In Transit,3,4,7/28/2014,
4477379,,PO-161,3,CARTONS_CN,,3,4,7/30/2014,
4477380,,PO-162,3,CARTONS_CN,,3,4,7/30/2014,
4477481,,PO-164,3,CARTONS_CN,,3,4,7/30/2014,
4477482,,PO-165,3,CARTONS_CN,,3,4,7/30/2014,
4477586,,PO-167,3,CARTONS_CN,,3,4,7/30/2014,
4477608,CUS-17000140 Amazon Parent : Amazon.com (Factory),PO-176,1,100243,,1,14,,
4477927,,PO-183,3,CARTONS_CN,,3,4,7/1/2014,
4477928,,PO-184,3,CARTONS_CN,,3,4,7/1/2014,
4477930,,PO-185,3,CARTONS_CN,,3,4,7/15/2014,
