OrderNumber|Quantity|ListPrice|SalesDiscount|Freight|FreightDiscount|LineTotal|NetProduct|OrderSource|SKU_NUM|Sku_NM|Class
SO-71360046|1|999.00||100.00|.00|1099.00|999.00|Web|100358|BOWFLEX MAX TRAINER M3|Cardio : MAX Trainer : MAX Trainer
SO-71360047|1|1599.00||150.00|-150.00|1449.00|1599.00|Call Center|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71360047||.00|-150.00|.00|.00|.00|-150.00|Call Center|Sales Discount||
SO-71360047|1|99.00||9.99|-9.99|.00|99.00|Call Center|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71360047||.00|-99.00|.00|.00|.00|-99.00|Call Center|Sales Discount||
SO-71360049|1|3.49||7.99|.00|11.48|3.49|Web|12238|TRC Safety Tether Assy|Other : Parts
SO-71360050|1|1599.00||249.00|.00|1848.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71360053|1|1599.00||169.99|-169.99|1299.00|1599.00|Web|100334|BFX XTREME 2SE HOME GYM|Strength : Home Gyms : Rods
SO-71360053||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71360053|1|139.99||24.99|-24.99|139.99|139.99|Web|001-3381|Preacher Curl Attach  Xtr X2|Strength : Home Gyms : Accessories
SO-71360053|1|99.00||9.99|-9.99|.00|99.00|Web|000-7262|Xtreme 60x48 Mat Boxed|Strength : Home Gyms : Accessories
SO-71360053||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71360054|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71360054||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71360054|1|249.00||.00|.00|249.00|249.00|Web|IHA-100341|Bowflex TC10 Assembly|Other : Service : In Home Assembly
SO-71360054|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71360054||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71360055|1|2199.00||199.99|-199.99|1899.00|2199.00|Web|100341|BFX TC10 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71360055||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
SO-71360055|1|249.00||.00|.00|249.00|249.00|Web|IHA-100341|Bowflex TC10 Assembly|Other : Service : In Home Assembly
SO-71360055|1|99.00||9.99|-9.99|.00|99.00|Web|10293|TRC Machine Mat|Cardio : TreadClimber : Accessories
SO-71360055||.00|-99.00|.00|.00|.00|-99.00|Web|Sales Discount||
SO-71360057|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71360058|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71360060|1|1599.00||150.00|-150.00|1599.00|1599.00|Web|100359|BFX MAX TRAINER M5|Cardio : MAX Trainer : MAX Trainer
SO-71360061|1|3299.00||199.99|-199.99|2999.00|3299.00|Web|100342|BFX TC20 TREADCLIMBER V2|Cardio : TreadClimber : TreadClimber
SO-71360061||.00|-300.00|.00|.00|.00|-300.00|Web|Sales Discount||
