US Short Form Sales & Rev
NAUT8005431397201602040000REVS00119800000032246619CUS-20692120               CAM48760 ODORN120J14FSTIC
NAUT8005069232201602110000REVS00235300000030135CUS-20699032               CAM48746 VEL*N120J14FSTIC
NAUT8005069232201602110000SALE00000100000030135CUS-20699032               CAM48746 VEL*N120J14FSTIC
NAUT8007171553201602110000REVS00109300000065779417CUS-20703335               CAM47197 IFC*N120HAMBYTIC
NAUT8007171553201602110000SALE00000100000065779417CUS-20703335               CAM47197 IFC*N120HAMBYTIC
NAUT8005794702201602110000REVS00211400000048625989CUS-20659029               CAM48507 GAMEN120HKINGTIC
NAUT8005794702201602110000SALE00000100000048625989CUS-20659029               CAM48507 GAMEN120HKINGTIC
NAUT8005106069201602110000REVS00231300000003104603CUS-8628314               CAM48499 SPKEN120HKINGTIC
NAUT8005106069201602110000SALE00000100000003104603CUS-8628314               CAM48499 SPKEN120HKINGTIC
NAUT8007173460201602110000REVS00208300000073458580CUS-20703906               CAM48518 INSPN180HKINGTIC
NAUT8007173460201602110000SALE00000100000073458580CUS-20703906               CAM48518 INSPN180HKINGTIC
