Treadclimber,CAM45043 SAWDOFG2E,,3/3/2015,3/2/2015,1,Online Shopping,Call Center Internal
Treadclimber,CAM45897 DOXFBTRESPONSE,,3/7/2015,3/2/2015,1,Online Social,Web
Treadclimber,CAM39152 dovhulutvl1,3/2/2015,3/2/2015,3/2/2015,4,Online Video,Web
Treadclimber,CAM39152 dovhulutvl1,3/3/2015,3/3/2015,3/2/2015,2,Online Video,Web
Treadclimber,CAM39152 dovhulutvl1,3/4/2015,3/4/2015,3/2/2015,4,Online Video,Web
Treadclimber,CAM39152 dovhulutvl1,3/5/2015,3/5/2015,3/2/2015,4,Online Video,Web
Treadclimber,CAM39152 dovhulutvl1,,3/5/2015,3/2/2015,1,Online Video,Web
Treadclimber,CAM39152 dovhulutvl1,3/6/2015,3/6/2015,3/2/2015,6,Online Video,Web
Treadclimber,CAM39152 dovhulutvl1,3/8/2015,3/8/2015,3/2/2015,7,Online Video,Web
Treadclimber,CAM46415 DOVPIXTVL1,3/6/2015,3/6/2015,3/2/2015,1,Online Video,Third Party Call Center - Evolve
Treadclimber,CAM46415 DOVPIXTVL1,3/3/2015,3/3/2015,3/2/2015,1,Online Video,Web
Treadclimber,CAM46415 DOVPIXTVL1,3/4/2015,3/4/2015,3/2/2015,1,Online Video,Web
Treadclimber,CAM46415 DOVPIXTVL1,3/5/2015,3/5/2015,3/2/2015,4,Online Video,Web
Treadclimber,CAM46415 DOVPIXTVL1,3/6/2015,3/6/2015,3/2/2015,1,Online Video,Web
Treadclimber,CAM46415 DOVPIXTVL1,3/7/2015,3/7/2015,3/2/2015,1,Online Video,Web
Treadclimber,CAM46415 DOVPIXTVL1,3/8/2015,3/8/2015,3/2/2015,2,Online Video,Web
Treadclimber,CAM46572 DOVPIXTVL3,3/3/2015,3/3/2015,3/2/2015,1,Online Video,Web
Treadclimber,CAM47018 DOVPIXTVL4,3/3/2015,3/3/2015,3/2/2015,1,Online Video,Web
Treadclimber,CAM47018 DOVPIXTVL4,3/7/2015,3/7/2015,3/2/2015,2,Online Video,Web
Treadclimber,CAM47018 DOVPIXTVL4,3/8/2015,3/8/2015,3/2/2015,1,Online Video,Web
Treadclimber,CAM30938 SHOPTEXTWALK,3/2/2015,3/2/2015,3/2/2015,3,Other - Agency,Shoptext
Treadclimber,CAM30938 SHOPTEXTWALK,3/4/2015,3/4/2015,3/2/2015,1,Other - Agency,Shoptext
Treadclimber,CAM30938 SHOPTEXTWALK,3/5/2015,3/5/2015,3/2/2015,1,Other - Agency,Shoptext
Treadclimber,CAM30938 SHOPTEXTWALK,3/7/2015,3/7/2015,3/2/2015,1,Other - Agency,Shoptext
Treadclimber,CAM30938 SHOPTEXTWALK,4/7/2015,3/8/2015,3/2/2015,1,Other - Agency,Shoptext
Treadclimber,CAM34858 SHOPTEXTSTEP,3/2/2015,3/2/2015,3/2/2015,2,Other - Agency,Shoptext
Treadclimber,CAM34858 SHOPTEXTSTEP,3/3/2015,3/3/2015,3/2/2015,3,Other - Agency,Shoptext
Treadclimber,CAM34858 SHOPTEXTSTEP,3/5/2015,3/5/2015,3/2/2015,3,Other - Agency,Shoptext
Treadclimber,CAM41285 deotshoptextstep,3/2/2015,3/2/2015,3/2/2015,2,Other - Agency,Web
Treadclimber,CAM41285 deotshoptextstep,3/3/2015,3/3/2015,3/2/2015,1,Other - Agency,Web
Treadclimber,CAM41285 deotshoptextstep,3/5/2015,3/5/2015,3/2/2015,1,Other - Agency,Web
Treadclimber,CAM41286 deotshoptextwalk,3/2/2015,3/2/2015,3/2/2015,1,Other - Agency,Web
